State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
CO,Colorado,06/01/2019,Y,U,Y,21837,,90,,21927,,18509,,338,,18847,,571876,,1281754,,36.17,-119.7462,"(36.17, -119.7462)",1200231,,81523,
DE,Delaware,06/01/2019,Y,U,Y,2572,,N/A,,2572,,4626,,746,,5372,,104535,Includes Limited-Benefit Enrollees,247349,Includes Limited-Benefit Enrollees,38.8964,-77.0262,"(38.8964, -77.0262)",236146,Includes Limited-Benefit Enrollees,11203,
MN,Minnesota,06/01/2019,Y,U,Y,5589,,16897,,22486,,16449,,49,,16498,,528384,,1045238,,43.3504,-84.5603,"(43.3504, -84.5603)",1043957,,1281,
UT,Utah,06/01/2019,N,U,Y,16211,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,16211,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",49606,Includes CHIP,,,49606,,190418,,309007,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",267168,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41839,
WY,Wyoming,06/01/2019,N,U,Y,1307,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1307,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,773,,29,,802,,37213,,56047,,44.0407,-72.7093,"(44.0407, -72.7093)",51757,,4290,
DC,District of Columbia,06/01/2019,Y,U,Y,2041,Includes SBM data,1743,,3784,Includes Renewals and/or Redeterminations,1754,Includes Renewals and/or Redeterminations; Includes CHIP,,,1754,,,,257622,,41.5834,-72.7622,"(41.5834, -72.7622)",240795,,16827,
NY,New York,06/01/2019,Y,U,Y,,,883747,Includes Renewals and/or Redeterminations,883747,Includes Renewals and/or Redeterminations,118012,Includes Renewals and/or Redeterminations,7963,Includes Renewals and/or Redeterminations,125975,Includes Renewals and/or Redeterminations,2493897,Includes Limited-Benefit Enrollees,6515656,Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5845908,Includes Limited-Benefit Enrollees,669748,
PA,Pennsylvania,06/01/2019,Y,U,Y,88353,Includes Renewals and/or Redeterminations,N/A,,88353,Includes Renewals and/or Redeterminations,79715,Includes Renewals and/or Redeterminations,9258,,88973,Includes Renewals and/or Redeterminations,1393598,,2955307,,35.5376,-96.9247,"(35.5376, -96.9247)",2771876,,183431,
VT,Vermont,06/01/2019,Y,U,Y,2742,,1287,,4029,Includes Renewals and/or Redeterminations,4944,Includes Renewals and/or Redeterminations,118,,5062,,62082,,155139,,31.106,-97.6475,"(31.106, -97.6475)",150800,,4339,
MD,Maryland,06/01/2019,Y,U,Y,8148,,87544,Includes Renewals and/or Redeterminations,95692,Includes Renewals and/or Redeterminations,37905,Includes Renewals and/or Redeterminations,3571,Includes Renewals and/or Redeterminations,41476,Includes Renewals and/or Redeterminations,621388,,1322426,,42.2373,-71.5314,"(42.2373, -71.5314)",1170407,,152019,
SC,South Carolina,06/01/2019,N,U,Y,21441,,N/A,,21441,,6513,Does Not Include All Medicaid Determinations Made At Application,120,Does Not Include All CHIP Determinations Made At Application,6633,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,661366,,1055203,,40.5773,-77.264,"(40.5773, -77.264)",964340,,90863,
KS,Kansas,06/01/2019,N,U,Y,,,N/A,,,,,,,,,,257688,,370030,,39.8647,-86.2604,"(39.8647, -86.2604)",315096,,54934,
CA,California,06/01/2019,Y,U,Y,153566,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,153566,,149649,Does Not Include All Medicaid Determinations Made At Application,10684,Does Not Include All CHIP Determinations Made At Application,160333,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4896374,,11744007,,33.7712,-111.3877,"(33.7712, -111.3877)",10441601,,1302406,
IN,Indiana,06/01/2019,Y,U,Y,78026,,N/A,,78026,,30850,,2340,,33190,,799127,,1459123,,40.3363,-89.0022,"(40.3363, -89.0022)",1347281,,111842,
OR,Oregon,06/01/2019,Y,U,Y,11376,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11376,Does Not Include All Non-MAGI Applications,18968,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",1929,,20897,Does Not Include All Non-MAGI Determinations Made At Application,416010,,984652,,40.3736,-82.7755,"(40.3736, -82.7755)",856078,,128574,
WA,Washington,06/01/2019,Y,U,Y,64109,,64954,,129063,,91465,,1484,,92949,,822293,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1710518,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1643705,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),66813,
VA,Virginia,06/01/2019,Y,U,Y,27232,Includes Renewals and/or Redeterminations,N/A,,27232,Includes Renewals and/or Redeterminations,19657,Includes Renewals and/or Redeterminations,634,Includes Renewals and/or Redeterminations,20291,Includes Renewals and/or Redeterminations,730566,,1324237,,35.7449,-86.7489,"(35.7449, -86.7489)",1180059,,144178,
IL,Illinois,06/01/2019,Y,U,Y,62159,,N/A,,62159,,28852,,9073,,37925,,1347008,,2826169,,44.2394,-114.5103,"(44.2394, -114.5103)",2564021,,262148,
FL,Florida,06/01/2019,N,U,Y,267353,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,267353,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,163446,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,18646,,182092,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2447218,,3650441,,39.3498,-75.5148,"(39.3498, -75.5148)",3412209,,238232,
AK,Alaska,06/01/2019,Y,U,Y,3108,Includes Renewals and/or Redeterminations,N/A,,3108,Includes Renewals and/or Redeterminations,2400,Includes Renewals and/or Redeterminations; Includes CHIP,99,,2499,Includes Renewals and/or Redeterminations,97672,,221746,,61.385,-152.2683,"(61.385, -152.2683)",206033,,15713,
GA,Georgia,06/01/2019,N,U,Y,41789,,N/A,,41789,,22981,,729,,23710,,1263951,,1841182,,27.8333,-81.717,"(27.8333, -81.717)",1631816,,209366,
CT,Connecticut,06/01/2019,Y,U,Y,4866,Includes Duplicates,10905,Includes Duplicates; Includes Renewals and/or Redeterminations,15771,Includes Duplicates,14060,Includes Renewals and/or Redeterminations,332,Includes Renewals and/or Redeterminations,14392,Includes Renewals and/or Redeterminations,335347,,858543,,39.0646,-105.3272,"(39.0646, -105.3272)",838673,,19870,
NV,Nevada,06/01/2019,Y,U,Y,19181,Includes Renewals and/or Redeterminations,N/A,,19181,Includes Renewals and/or Redeterminations,11815,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",61,,11876,,312585,,631512,,40.314,-74.5089,"(40.314, -74.5089)",589769,,41743,
IA,Iowa,06/01/2019,Y,U,Y,13620,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13620,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,963,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,963,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,338836,,697416,,21.1098,-157.5311,"(21.1098, -157.5311)",620959,,76457,
KY,Kentucky,06/01/2019,Y,U,Y,8923,,,,8923,,32639,,1695,,34334,,560679,,1209759,,38.5111,-96.8005,"(38.5111, -96.8005)",1120953,,88806,
NH,New Hampshire,06/01/2019,Y,U,Y,7128,,N/A,,7128,,4097,,481,,4578,,89380,,178783,,47.5362,-99.793,"(47.5362, -99.793)",163964,,14819,
MA,Massachusetts,06/01/2019,Y,U,Y,17338,,1976,,19314,,14561,,894,,15455,,672908,,1580598,,31.1801,-91.8749,"(31.1801, -91.8749)",1395401,,185197,
AZ,Arizona,06/01/2019,Y,U,Y,99470,,N/A,,99470,,,,,,,,,,1705679,,14.2417,-170.7197,"(14.2417, -170.7197)",1604805,,100874,
AR,Arkansas,06/01/2019,Y,U,Y,19135,,N/A,,19135,,8381,,327,,8708,,428070,,850582,,34.9513,-92.3809,"(34.9513, -92.3809)",761140,,89442,
NM,New Mexico,06/01/2019,Y,U,Y,11725,,N/A,,11725,,16373,,1576,,17949,,328520,,729156,,43.4108,-71.5653,"(43.4108, -71.5653)",692477,,36679,
TN,Tennessee,06/01/2019,N,U,Y,14023,,N/A,,14023,,5933,,581,,6514,,795679,,1445588,,41.6772,-71.5101,"(41.6772, -71.5101)",1394142,,51446,
OK,Oklahoma,06/01/2019,N,U,Y,37987,Includes Renewals and/or Redeterminations,N/A,,37987,Includes Renewals and/or Redeterminations,36793,Includes Renewals and/or Redeterminations,6829,,43622,Includes Renewals and/or Redeterminations,511378,,729196,,42.1497,-74.9384,"(42.1497, -74.9384)",610779,,118417,
ID,Idaho,06/01/2019,N,U,Y,7063,,,,7063,,5272,,332,,5604,,196683,,274946,,42.0046,-93.214,"(42.0046, -93.214)",249346,,25600,
NJ,New Jersey,06/01/2019,Y,U,Y,34382,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,34382,Does Not Include All Non-MAGI Applications,14468,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,6027,,20495,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,824387,,1727705,,41.1289,-98.2883,"(41.1289, -98.2883)",1504733,,222972,
RI,Rhode Island,06/01/2019,Y,U,Y,1696,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1696,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2598,,347,,2945,,120003,,300759,,44.5672,-122.1269,"(44.5672, -122.1269)",269191,,31568,
OH,Ohio,06/01/2019,Y,U,Y,67504,Includes Renewals and/or Redeterminations,N/A,,67504,Includes Renewals and/or Redeterminations,57223,Includes CHIP; Includes Renewals and/or Redeterminations,2911,,60134,Includes Renewals and/or Redeterminations,1142434,,2647784,,38.4199,-117.1219,"(38.4199, -117.1219)",2448538,,199246,
NE,Nebraska,06/01/2019,N,U,Y,5534,,N/A,,5534,,5360,,707,,6067,,163338,,245673,,35.6411,-79.8431,"(35.6411, -79.8431)",212060,,33613,
NC,North Carolina,06/01/2019,N,U,Y,21374,,N/A,,21374,,28575,,2744,,31319,,1175875,,1742944,,32.7673,-89.6812,"(32.7673, -89.6812)",1475633,,267311,
ND,North Dakota,06/01/2019,Y,U,Y,1824,,N/A,,1824,,2046,,52,,2098,,42203,,90107,,46.9048,-110.3261,"(46.9048, -110.3261)",88010,,2097,
MT,Montana,06/01/2019,Y,U,Y,3793,,N/A,,3793,,3845,,339,,4184,,125519,,273144,,14.8058,145.5505,"(14.8058, 145.5505)",243863,,29281,
ME,Maine,06/01/2019,Y,U,Y,6582,,N/A,,6582,,11653,,612,,12265,,104759,,259942,,39.0724,-76.7902,"(39.0724, -76.7902)",248724,,11218,
