State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AL,Alabama,02/01/2019,N,U,Y,18173,,N/A,,18173,,14284,,2069,,16353,,656131,,919053,,32.799,-86.8073,"(32.799, -86.8073)",745164,,173889,
UT,Utah,02/01/2019,N,U,Y,17043,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,17043,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",35290,Includes CHIP,,,35290,,194187,,287932,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",244379,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,43553,
IL,Illinois,02/01/2019,Y,U,Y,61362,,N/A,,61362,,22839,,7498,,30337,,1344018,,2824308,,44.2394,-114.5103,"(44.2394, -114.5103)",2569171,,255137,
HI,Hawaii,02/01/2019,Y,U,Y,4600,,N/A,,4600,,5096,,360,,5456,,141014,,331889,,32.9866,-83.6487,"(32.9866, -83.6487)",306351,,25538,
LA,Louisiana,02/01/2019,Y,U,Y,28824,,N/A,,28824,,19786,,1385,,21171,,751922,,1593351,,37.669,-84.6514,"(37.669, -84.6514)",1458268,,135083,
KY,Kentucky,02/01/2019,Y,U,Y,9239,,,,9239,,34193,,6732,,40925,,563290,,1216189,,38.5111,-96.8005,"(38.5111, -96.8005)",1123120,,93069,
PA,Pennsylvania,02/01/2019,Y,U,Y,83044,Includes Renewals and/or Redeterminations,N/A,,83044,Includes Renewals and/or Redeterminations,78044,Includes Renewals and/or Redeterminations,9391,,87435,Includes Renewals and/or Redeterminations,1395796,,2962054,,35.5376,-96.9247,"(35.5376, -96.9247)",2781084,,180970,
NM,New Mexico,02/01/2019,Y,U,Y,11068,,N/A,,11068,,15844,,1451,,17295,,330068,,728697,,43.4108,-71.5653,"(43.4108, -71.5653)",691140,,37557,
VA,Virginia,02/01/2019,Y,U,Y,30071,Includes Renewals and/or Redeterminations,N/A,,30071,Includes Renewals and/or Redeterminations,23999,Includes Renewals and/or Redeterminations,688,Includes Renewals and/or Redeterminations,24687,Includes Renewals and/or Redeterminations,713535,,1251260,,35.7449,-86.7489,"(35.7449, -86.7489)",1108915,,142345,
OK,Oklahoma,02/01/2019,N,U,Y,42977,Includes Renewals and/or Redeterminations,N/A,,42977,Includes Renewals and/or Redeterminations,40244,Includes Renewals and/or Redeterminations,8769,,49013,Includes Renewals and/or Redeterminations,511100,,729622,,42.1497,-74.9384,"(42.1497, -74.9384)",604453,,125169,
TN,Tennessee,02/01/2019,N,U,Y,,,N/A,,,,,,,,,,,,1431593,,41.6772,-71.5101,"(41.6772, -71.5101)",1377356,,54237,
IN,Indiana,02/01/2019,Y,U,Y,87809,,N/A,,87809,,34391,,3156,,37547,,805512,,1464635,,40.3363,-89.0022,"(40.3363, -89.0022)",1350840,,113795,
GA,Georgia,02/01/2019,N,U,Y,39862,,N/A,,39862,,27493,,1046,,28539,,1255853,,1835052,,27.8333,-81.717,"(27.8333, -81.717)",1618389,,216663,
MI,Michigan,02/01/2019,Y,U,Y,44693,,N/A,,44693,,43120,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1687,,44807,,956102,Does Not Include All Full-Benefit Child Medicaid enrollees,2356612,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2295266,Does Not Include All Full-Benefit Medicaid enrollees,61346,
ND,North Dakota,02/01/2019,Y,U,Y,1810,,N/A,,1810,,1791,,45,,1836,,43014,,90765,,46.9048,-110.3261,"(46.9048, -110.3261)",88622,,2143,
NC,North Carolina,02/01/2019,N,U,Y,20480,,N/A,,20480,,30780,,3808,,34588,,1185189,,1754170,,32.7673,-89.6812,"(32.7673, -89.6812)",1492301,,261869,
CT,Connecticut,02/01/2019,Y,U,Y,4496,Includes Duplicates,10652,Includes Duplicates; Includes Renewals and/or Redeterminations,15148,Includes Duplicates,13403,Includes Renewals and/or Redeterminations,321,Includes Renewals and/or Redeterminations,13724,Includes Renewals and/or Redeterminations,337555,,862725,,39.0646,-105.3272,"(39.0646, -105.3272)",842741,,19984,
IA,Iowa,02/01/2019,Y,U,Y,13883,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13883,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1191,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1191,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,335489,,693646,,21.1098,-157.5311,"(21.1098, -157.5311)",620988,,72658,
MA,Massachusetts,02/01/2019,Y,U,Y,16552,,1980,,18532,,,,,,,,667528,,1561612,,31.1801,-91.8749,"(31.1801, -91.8749)",1375444,,186168,
AR,Arkansas,02/01/2019,Y,U,Y,19769,,N/A,,19769,,7758,,303,,8061,,428216,,847996,,34.9513,-92.3809,"(34.9513, -92.3809)",758722,,89274,
OH,Ohio,02/01/2019,Y,U,Y,65426,Includes Renewals and/or Redeterminations,N/A,,65426,Includes Renewals and/or Redeterminations,53090,Includes CHIP; Includes Renewals and/or Redeterminations,2901,,55991,Includes Renewals and/or Redeterminations,1147964,,2649555,,38.4199,-117.1219,"(38.4199, -117.1219)",2443878,,205677,
MN,Minnesota,02/01/2019,Y,U,Y,5183,,20433,,25616,,19333,,43,,19376,,529254,,1053901,,43.3504,-84.5603,"(43.3504, -84.5603)",1052631,,1270,
NE,Nebraska,02/01/2019,N,U,Y,6159,,N/A,,6159,,4982,,854,,5836,,164696,,247508,,35.6411,-79.8431,"(35.6411, -79.8431)",212330,,35178,
FL,Florida,02/01/2019,N,U,Y,251794,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,251794,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,201395,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,21669,,223064,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2465449,,3678155,,39.3498,-75.5148,"(39.3498, -75.5148)",3444643,,233512,
NV,Nevada,02/01/2019,Y,U,Y,17472,Includes Renewals and/or Redeterminations,N/A,,17472,Includes Renewals and/or Redeterminations,11326,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",82,,11408,,302407,,633325,,40.314,-74.5089,"(40.314, -74.5089)",591155,,42170,
WV,West Virginia,02/01/2019,Y,U,Y,21036,,N/A,,21036,,11056,,544,,11600,,218664,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),520427,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",486773,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33654,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
WI,Wisconsin,02/01/2019,N,U,Y,21945,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,21945,Does Not Include All Applications for Limited-Benefit Programs,16293,"Count is of Households, Not Individuals",1074,,17367,,505919,,1033735,,37.768,-78.2057,"(37.768, -78.2057)",962566,,71169,
DC,District of Columbia,02/01/2019,Y,U,Y,1484,Includes SBM data,1613,,3097,Includes Renewals and/or Redeterminations,3141,Includes Renewals and/or Redeterminations; Includes CHIP,,,3141,,,,257870,,41.5834,-72.7622,"(41.5834, -72.7622)",241419,,16451,
AZ,Arizona,02/01/2019,Y,U,Y,94300,,N/A,,94300,,,,,,,,,,1701411,,14.2417,-170.7197,"(14.2417, -170.7197)",1596840,,104571,
SC,South Carolina,02/01/2019,N,U,Y,30421,,N/A,,30421,,6524,Does Not Include All Medicaid Determinations Made At Application,265,Does Not Include All CHIP Determinations Made At Application,6789,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,657843,,1050510,,40.5773,-77.264,"(40.5773, -77.264)",959314,,91196,
TX,Texas,02/01/2019,N,U,Y,118994,,N/A,,118994,,81430,,14508,,95938,,3383051,,4283333,,33.8191,-80.9066,"(33.8191, -80.9066)",3693097,,590236,
NJ,New Jersey,02/01/2019,Y,U,Y,35770,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,35770,Does Not Include All Non-MAGI Applications,14555,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application,8877,,23432,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,820349,,1727697,,41.1289,-98.2883,"(41.1289, -98.2883)",1514473,,213224,
ID,Idaho,02/01/2019,N,U,Y,7428,,,,7428,,5736,,563,,6299,,192703,,269916,,42.0046,-93.214,"(42.0046, -93.214)",243379,,26537,
