State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MI,Michigan,07/01/2018,Y,U,Y,51260,,N/A,,51260,,46497,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1312,,47809,,951807,Does Not Include All Full-Benefit Child Medicaid enrollees,2355527,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2298825,Does Not Include All Full-Benefit Medicaid enrollees,56702,
KS,Kansas,07/01/2018,N,U,Y,,,N/A,,,,,,,,,,268904,,386547,,39.8647,-86.2604,333779,,52768,
AK,Alaska,07/01/2018,Y,U,Y,2911,Includes Renewals and/or Redeterminations,N/A,,2911,Includes Renewals and/or Redeterminations,2232,Includes Renewals and/or Redeterminations; Includes CHIP,,,2232,Includes Renewals and/or Redeterminations,95035,,211609,,61.385,-152.2683,197806,,13803,
WY,Wyoming,07/01/2018,N,U,Y,1476,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1476,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,699,,24,,723,,39845,,59658,,44.0407,-72.7093,55089,,4569,
NJ,New Jersey,07/01/2018,Y,U,Y,30729,,N/A,,30729,,10026,Does Not Include All Medicaid Determinations Made At Application,4365,Does Not Include All CHIP Determinations Made At Application,14391,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,849591,,1788090,,41.1289,-98.2883,1572724,,215366,
CA,California,07/01/2018,Y,U,Y,165763,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,165763,,153506,Does Not Include All Medicaid Determinations Made At Application,10917,Does Not Include All CHIP Determinations Made At Application,164423,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5062391,,12059138,,33.7712,-111.3877,10748634,,1310504,
ME,Maine,07/01/2018,Y,U,Y,4807,,N/A,,4807,,8876,,508,,9384,,109734,,266526,,39.0724,-76.7902,256343,,10183,
RI,Rhode Island,07/01/2018,Y,U,Y,2375,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2375,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3321,,464,,3785,,123141,,311231,,44.5672,-122.1269,280244,,30987,
UT,Utah,07/01/2018,N,U,Y,20055,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,20055,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",37964,Includes CHIP,,,37964,,202933,,296702,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,252073,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44629,
FL,Florida,07/01/2018,N,U,Y,312278,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,312278,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,190972,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,23065,,214037,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2497262,,3729831,,39.3498,-75.5148,3513481,,216350,
NH,New Hampshire,07/01/2018,Y,U,Y,7801,,N/A,,7801,,4688,,430,,5118,,91286,,185233,,47.5362,-99.793,170725,,14508,
WA,Washington,07/01/2018,Y,U,Y,68766,,70710,,139476,,95566,,1599,,97165,,832687,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1745561,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1681935,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),63626,
VT,Vermont,07/01/2018,Y,U,Y,3110,,1170,,4280,Includes Renewals and/or Redeterminations,4755,Includes Renewals and/or Redeterminations,125,,4880,,63547,,162726,,31.106,-97.6475,158299,,4427,
NE,Nebraska,07/01/2018,N,U,Y,6204,,N/A,,6204,,7121,,966,,8087,,165231,,248379,,35.6411,-79.8431,214466,,33913,
OR,Oregon,07/01/2018,Y,U,Y,12591,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12591,Does Not Include All Non-MAGI Applications,21628,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2242,,23870,Does Not Include All Non-MAGI Determinations Made At Application,415712,,972808,,40.3736,-82.7755,846779,,126029,
IA,Iowa,07/01/2018,Y,U,Y,14283,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,14283,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1413,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1413,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,331854,,683936,,21.1098,-157.5311,613205,,70731,
MS,Mississippi,07/01/2018,N,U,Y,18192,,N/A,,18192,,10510,,460,,10970,,426517,,628519,,38.4623,-92.302,551852,,76667,
TX,Texas,07/01/2018,N,U,Y,130947,,N/A,,130947,,86308,,13615,,99923,,3442001,,4355227,,33.8191,-80.9066,3738797,,616430,
MD,Maryland,07/01/2018,Y,U,Y,8122,,99494,Includes Renewals and/or Redeterminations,107616,Includes Renewals and/or Redeterminations,31549,Includes Renewals and/or Redeterminations,3790,Includes Renewals and/or Redeterminations,35339,Includes Renewals and/or Redeterminations,615881,,1312271,,42.2373,-71.5314,1160208,,152063,
VA,Virginia,07/01/2018,Y,U,Y,21134,Includes Renewals and/or Redeterminations,N/A,,21134,Includes Renewals and/or Redeterminations,17757,Includes Renewals and/or Redeterminations,842,Includes Renewals and/or Redeterminations,18599,Includes Renewals and/or Redeterminations,697122,,1046260,,35.7449,-86.7489,906995,,139265,
NC,North Carolina,07/01/2018,N,U,Y,21765,,N/A,,21765,,33183,,3512,,36695,,1186337,,1772526,,32.7673,-89.6812,1527723,,244803,
PA,Pennsylvania,07/01/2018,Y,U,Y,91063,Includes Renewals and/or Redeterminations,N/A,,91063,Includes Renewals and/or Redeterminations,82826,Includes Renewals and/or Redeterminations,9120,,91946,Includes Renewals and/or Redeterminations,1405934,,2989593,,35.5376,-96.9247,2811292,,178301,
GA,Georgia,07/01/2018,N,U,Y,47138,,N/A,,47138,,29131,,1078,,30209,,1284074,,1874411,,27.8333,-81.717,1663520,,210891,
SC,South Carolina,07/01/2018,N,U,Y,25586,,N/A,,25586,,7207,Does Not Include All Medicaid Determinations Made At Application,182,Does Not Include All CHIP Determinations Made At Application,7389,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,641446,,1030392,,40.5773,-77.264,942125,,88267,
WI,Wisconsin,07/01/2018,N,U,Y,24168,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,24168,Does Not Include All Applications for Limited-Benefit Programs,18160,"Count is of Households, Not Individuals",991,,19151,,485271,,1032239,,37.768,-78.2057,964141,,68098,
ND,North Dakota,07/01/2018,Y,U,Y,1834,,N/A,,1834,,1788,,55,,1843,,44134,,93970,,46.9048,-110.3261,91882,,2088,
MA,Massachusetts,07/01/2018,Y,U,Y,18185,,3124,,21309,,,,,,,,680159,,1609281,,31.1801,-91.8749,1428462,,180819,
TN,Tennessee,07/01/2018,N,U,Y,557,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,557,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,483,,483,Does Not Include All Medicaid Determinations Made At Application,,,1443541,,41.6772,-71.5101,1390399,,53142,
OK,Oklahoma,07/01/2018,N,U,Y,46772,,N/A,,46772,,42540,,7927,,50467,,517862,,739877,,42.1497,-74.9384,617925,,121952,
IL,Illinois,07/01/2018,Y,U,Y,67279,,N/A,,67279,,38165,,13735,,51900,,1394529,,2974380,,44.2394,-114.5103,2742055,,232325,
MT,Montana,07/01/2018,Y,U,Y,3239,,N/A,,3239,,3217,,180,,3397,,129389,,280638,,14.8058,145.5505,255515,,25123,
