State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MT,Montana,08/01/2018,Y,U,Y,3654,,N/A,,3654,,3618,,183,,3801,,129499,,281233,,14.8058,145.5505,255835,,25398,
HI,Hawaii,08/01/2018,Y,U,Y,4786,,N/A,,4786,,6096,,429,,6525,,142547,,336795,,32.9866,-83.6487,311822,,24973,
DE,Delaware,08/01/2018,Y,U,Y,3116,,N/A,,3116,,5425,,761,,6186,,105296,Includes Limited-Benefit Enrollees,248310,Includes Limited-Benefit Enrollees,38.8964,-77.0262,237186,Includes Limited-Benefit Enrollees,11124,
MO,Missouri,08/01/2018,N,U,Y,21948,,N/A,,21948,,10210,"Includes CHIP; Count is of Households, Not Individuals",,,10210,"Count is of Households, Not Individuals",601688,,935680,,45.7326,-93.9196,904127,,31553,
MA,Massachusetts,08/01/2018,Y,U,Y,20668,,3469,,24137,,,,,,,,683520,,1609065,,31.1801,-91.8749,1427506,,181559,
WI,Wisconsin,08/01/2018,N,U,Y,26103,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,26103,Does Not Include All Applications for Limited-Benefit Programs,19106,"Count is of Households, Not Individuals",1131,,20237,,485930,,1032565,,37.768,-78.2057,963580,,68985,
SD,South Dakota,08/01/2018,N,U,Y,2854,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2854,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1737,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1737,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79845,,112015,,18.2766,-66.335,96144,,15871,
NC,North Carolina,08/01/2018,N,U,Y,23604,,N/A,,23604,,38202,,4284,,42486,,1183906,,1769228,,32.7673,-89.6812,1522357,,246871,
ID,Idaho,08/01/2018,N,U,Y,8294,,,,8294,,7024,,487,,7511,,199171,,276978,,42.0046,-93.214,252550,,24428,
KY,Kentucky,08/01/2018,Y,U,Y,,,11185,,11185,,,,,,,,570221,,1239776,,38.5111,-96.8005,1152873,,86903,
MD,Maryland,08/01/2018,Y,U,Y,7924,,100027,Includes Renewals and/or Redeterminations,107951,Includes Renewals and/or Redeterminations,32986,Includes Renewals and/or Redeterminations,4393,Includes Renewals and/or Redeterminations,37379,Includes Renewals and/or Redeterminations,617641,,1314590,,42.2373,-71.5314,1160769,,153821,
CT,Connecticut,08/01/2018,Y,U,Y,5097,Includes Duplicates,12337,Includes Duplicates; Includes Renewals and/or Redeterminations,17434,Includes Duplicates,16284,Includes Renewals and/or Redeterminations,365,Includes Renewals and/or Redeterminations,16649,Includes Renewals and/or Redeterminations,329137,,847023,,39.0646,-105.3272,828292,,18731,
OH,Ohio,08/01/2018,Y,U,Y,60849,Includes Renewals and/or Redeterminations,N/A,,60849,Includes Renewals and/or Redeterminations,47382,Includes CHIP; Includes Renewals and/or Redeterminations,2652,,50034,Includes Renewals and/or Redeterminations,1169628,,2717361,,38.4199,-117.1219,2497508,,219853,
IN,Indiana,08/01/2018,Y,U,Y,102364,,N/A,,102364,,42365,,3668,,46033,,805277,,1453490,,40.3363,-89.0022,1342249,,111241,
NY,New York,08/01/2018,Y,U,Y,,,722351,Includes Renewals and/or Redeterminations,722351,Includes Renewals and/or Redeterminations,116069,Includes Renewals and/or Redeterminations,7902,Includes Renewals and/or Redeterminations,123971,Includes Renewals and/or Redeterminations,2508439,Includes Limited-Benefit Enrollees,6515672,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5889821,Includes Limited-Benefit Enrollees,625851,
WA,Washington,08/01/2018,Y,U,Y,74726,,75822,,150548,,107716,,2047,,109763,,831550,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1739945,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1674846,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),65099,
AZ,Arizona,08/01/2018,Y,U,Y,119772,,N/A,,119772,,,,,,,,,,1691877,,14.2417,-170.7197,1591718,,100159,
WY,Wyoming,08/01/2018,N,U,Y,1745,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1745,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,774,,23,,797,,39792,,59605,,44.0407,-72.7093,54983,,4622,
KS,Kansas,08/01/2018,N,U,Y,,,N/A,,,,,,,,,,267613,,384606,,39.8647,-86.2604,331942,,52664,
FL,Florida,08/01/2018,N,U,Y,326143,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,326143,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,195074,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,25086,,220160,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2498479,,3729920,,39.3498,-75.5148,3509312,,220608,
MN,Minnesota,08/01/2018,Y,U,Y,6258,,20591,,26849,,21764,,37,,21801,,539927,,1082325,,43.3504,-84.5603,1081047,,1278,
WV,West Virginia,08/01/2018,Y,U,Y,24455,,N/A,,24455,,13013,,690,,13703,,221567,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),531306,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,497940,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33366,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
NE,Nebraska,08/01/2018,N,U,Y,6844,,N/A,,6844,,8653,,1076,,9729,,165714,,249042,,35.6411,-79.8431,214800,,34242,
NV,Nevada,08/01/2018,Y,U,Y,17735,Includes Renewals and/or Redeterminations,N/A,,17735,Includes Renewals and/or Redeterminations,13229,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",63,,13292,,308704,,646973,,40.314,-74.5089,605418,,41555,
CO,Colorado,08/01/2018,Y,U,Y,25349,,1588,,26937,,21745,,423,,22168,,601286,,1339904,,36.17,-119.7462,1257949,,81955,
CA,California,08/01/2018,Y,U,Y,181504,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,181504,,166696,Does Not Include All Medicaid Determinations Made At Application,13411,Does Not Include All CHIP Determinations Made At Application,180107,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5063155,,12055099,,33.7712,-111.3877,10746671,,1308428,
MI,Michigan,08/01/2018,Y,U,Y,55194,,N/A,,55194,,51429,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1621,,53050,,952887,Does Not Include All Full-Benefit Child Medicaid enrollees,2352398,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2295085,Does Not Include All Full-Benefit Medicaid enrollees,57313,
OR,Oregon,08/01/2018,Y,U,Y,13427,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,13427,Does Not Include All Non-MAGI Applications,24585,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2603,,27188,Does Not Include All Non-MAGI Determinations Made At Application,414720,,972190,,40.3736,-82.7755,846403,,125787,
RI,Rhode Island,08/01/2018,Y,U,Y,2670,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2670,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3529,,544,,4073,,123512,,312377,,44.5672,-122.1269,280763,,31614,
SC,South Carolina,08/01/2018,N,U,Y,27016,,N/A,,27016,,8424,Does Not Include All Medicaid Determinations Made At Application,227,Does Not Include All CHIP Determinations Made At Application,8651,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,652597,,1041709,,40.5773,-77.264,953218,,88491,
DC,District of Columbia,08/01/2018,Y,U,Y,2655,Includes SBM data,996,,3651,Includes Renewals and/or Redeterminations,3868,Includes Renewals and/or Redeterminations; Includes CHIP,,,3868,,,,258784,,41.5834,-72.7622,243186,,15598,
AK,Alaska,08/01/2018,Y,U,Y,3216,Includes Renewals and/or Redeterminations,N/A,,3216,Includes Renewals and/or Redeterminations,2409,Includes Renewals and/or Redeterminations; Includes CHIP,,,2409,Includes Renewals and/or Redeterminations,95080,,211945,,61.385,-152.2683,197981,,13964,
VT,Vermont,08/01/2018,Y,U,Y,3056,,1324,,4380,Includes Renewals and/or Redeterminations,5287,Includes Renewals and/or Redeterminations,144,,5431,,63587,,162742,,31.106,-97.6475,158324,,4418,
NJ,New Jersey,08/01/2018,Y,U,Y,33260,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,33260,Does Not Include All Non-MAGI Applications,11683,Does Not Include All Medicaid Determinations Made At Application,5096,Does Not Include All CHIP Determinations Made At Application,16779,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,843712,,1776276,,41.1289,-98.2883,1562617,,213659,
MS,Mississippi,08/01/2018,N,U,Y,21154,,N/A,,21154,,13106,,631,,13737,,423812,,625242,,38.4623,-92.302,548770,,76472,
OK,Oklahoma,08/01/2018,N,U,Y,51358,Includes Renewals and/or Redeterminations,N/A,,51358,Includes Renewals and/or Redeterminations,45579,Includes Renewals and/or Redeterminations,8433,,54012,Includes Renewals and/or Redeterminations,516155,,736945,,42.1497,-74.9384,616489,,120456,
LA,Louisiana,08/01/2018,Y,U,Y,27462,,N/A,,27462,,35916,,2698,,38614,,727350,,1455451,,37.669,-84.6514,1326418,,129033,
UT,Utah,08/01/2018,N,U,Y,25943,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,25943,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",43994,Includes CHIP,,,43994,,203027,,297259,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,252325,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44934,
AL,Alabama,08/01/2018,N,U,Y,22186,,N/A,,22186,,31296,,3289,,34585,,645122,,906985,,32.799,-86.8073,735972,,171013,
IL,Illinois,08/01/2018,Y,U,Y,70016,,N/A,,70016,,43447,,16127,,59574,,1399072,,2978597,,44.2394,-114.5103,2742900,,235697,
ME,Maine,08/01/2018,Y,U,Y,5521,,N/A,,5521,,10925,,668,,11593,,109256,,265495,,39.0724,-76.7902,255246,,10249,
