State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
OH,Ohio,07/01/2017,Y,U,Y,50562,Includes Renewals and/or Redeterminations,N/A,,50562,Includes Renewals and/or Redeterminations,40242,Includes CHIP; Includes Renewals and/or Redeterminations,2359,,42601,Includes Renewals and/or Redeterminations,,2963166,,38.4199,-117.1219,2747233,,215933,
OR,Oregon,07/01/2017,Y,U,Y,24891,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,24891,Does Not Include All Non-MAGI Applications,43035,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",4110,,47145,Does Not Include All Non-MAGI Determinations Made At Application,,989582,,40.3736,-82.7755,872063,,117519,
PA,Pennsylvania,07/01/2017,Y,U,Y,81664,Includes Renewals and/or Redeterminations,N/A,,81664,Includes Renewals and/or Redeterminations,47709,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",7668,"Count is of Households, Not Individuals",55377,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,2947533,,35.5376,-96.9247,2771292,,176241,
SC,South Carolina,07/01/2017,N,U,Y,20802,,N/A,,20802,,6110,Does Not Include All Medicaid Determinations Made At Application,125,Does Not Include All CHIP Determinations Made At Application,6235,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1032955,,40.5773,-77.264,956376,,76579,
TN,Tennessee,07/01/2017,N,U,Y,528,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,528,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,447,,447,Does Not Include All Medicaid Determinations Made At Application,,1484821,,41.6772,-71.5101,1405280,,79541,
TX,Texas,07/01/2017,N,U,Y,126036,,N/A,,126036,,100134,,13886,,114020,,,4434104,,33.8191,-80.9066,3874786,,559318,
UT,Utah,07/01/2017,N,U,Y,20478,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,20478,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",52012,Includes CHIP,,,52012,,,307267,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,259669,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,47598,
VT,Vermont,07/01/2017,Y,U,Y,3102,,1275,,4377,Includes Renewals and/or Redeterminations,4152,Includes Renewals and/or Redeterminations,91,,4243,,,168455,,31.106,-97.6475,163597,,4858,
VA,Virginia,07/01/2017,Y,U,Y,21823,Includes Renewals and/or Redeterminations,N/A,,21823,Includes Renewals and/or Redeterminations,13282,Includes Renewals and/or Redeterminations,503,Includes Renewals and/or Redeterminations,13785,Includes Renewals and/or Redeterminations,,1015609,,35.7449,-86.7489,890178,,125431,
WA,Washington,07/01/2017,Y,U,Y,17388,,65967,,83355,,37954,,1169,,39123,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1789309,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1735878,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),53431,
WV,West Virginia,07/01/2017,Y,U,Y,20807,,N/A,,20807,,10762,,490,,11252,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),546785,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,514371,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32414,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
WI,Wisconsin,07/01/2017,N,U,Y,23056,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23056,Does Not Include All Applications for Limited-Benefit Programs,17424,"Count is of Households, Not Individuals",997,,18421,,,1037696,,37.768,-78.2057,975494,,62202,
