State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
ME,Maine,06/01/2017,Y,U,Y,1508,,N/A,,1508,,10213,,325,,10538,,,267388,,39.0724,-76.7902,263064,,4324,
MD,Maryland,06/01/2017,Y,U,Y,8203,,83277,Includes Renewals and/or Redeterminations,91480,Includes Renewals and/or Redeterminations,24087,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",3427,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",27514,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,1305591,,42.2373,-71.5314,1159266,,146325,
MA,Massachusetts,06/01/2017,Y,U,Y,23381,,6564,,29945,,,,,,,,,1657695,,31.1801,-91.8749,1487863,,169832,
MI,Michigan,06/01/2017,Y,U,Y,45302,,N/A,,45302,,45567,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1176,,46743,,Does Not Include All Full-Benefit Child Medicaid enrollees,2378157,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2322920,Does Not Include All Full-Benefit Medicaid enrollees,55237,
MN,Minnesota,06/01/2017,Y,U,Y,6261,,23977,,30238,,30783,,62,,30845,,,1061615,,43.3504,-84.5603,1060153,,1462,
MS,Mississippi,06/01/2017,N,U,Y,16663,,N/A,,16663,,11008,,378,,11386,,,656669,,38.4623,-92.302,576682,,79987,
MT,Montana,06/01/2017,Y,U,Y,3890,,N/A,,3890,,4232,,229,,4461,,,261293,,14.8058,145.5505,232258,,29035,
NE,Nebraska,06/01/2017,N,U,Y,5838,,N/A,,5838,,7137,,855,,7992,,,244956,,35.6411,-79.8431,212724,,32232,
NH,New Hampshire,06/01/2017,Y,U,Y,8201,,N/A,,8201,,5214,,465,,5679,,,188296,,47.5362,-99.793,174526,,13770,
NJ,New Jersey,06/01/2017,Y,U,Y,32212,,N/A,,32212,,12827,Does Not Include All Medicaid Determinations Made At Application,4057,Does Not Include All CHIP Determinations Made At Application,16884,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1787875,,41.1289,-98.2883,1584693,,203182,
NY,New York,06/01/2017,Y,U,Y,,,619289,Includes Renewals and/or Redeterminations,619289,Includes Renewals and/or Redeterminations,125494,Includes Renewals and/or Redeterminations,10600,Includes Renewals and/or Redeterminations,136094,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6432211,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5859742,Includes Limited-Benefit Enrollees,572469,
NC,North Carolina,06/01/2017,N,U,Y,21153,,N/A,,21153,,31265,,3743,,35008,,,1785838,,32.7673,-89.6812,1561831,,224007,
OH,Ohio,06/01/2017,Y,U,Y,52859,Includes Renewals and/or Redeterminations,N/A,,52859,Includes Renewals and/or Redeterminations,45289,Includes CHIP; Includes Renewals and/or Redeterminations,2796,,48085,Includes Renewals and/or Redeterminations,,2979251,,38.4199,-117.1219,2763355,,215896,
OK,Oklahoma,06/01/2017,N,U,Y,43977,,N/A,,43977,,35687,,5898,,41585,,,753984,,42.1497,-74.9384,637395,,116589,
OR,Oregon,06/01/2017,Y,U,Y,23479,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,23479,Does Not Include All Non-MAGI Applications,42186,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",3407,,45593,Does Not Include All Non-MAGI Determinations Made At Application,,1006080,,40.3736,-82.7755,890245,,115835,
PA,Pennsylvania,06/01/2017,Y,U,Y,85493,Includes Renewals and/or Redeterminations,N/A,,85493,Includes Renewals and/or Redeterminations,51396,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",8883,"Count is of Households, Not Individuals",60279,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,2949330,,35.5376,-96.9247,2772759,,176571,
RI,Rhode Island,06/01/2017,Y,U,Y,,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",4613,,4613,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",5023,,627,,5650,,,314845,,44.5672,-122.1269,289918,,24927,
SC,South Carolina,06/01/2017,N,U,Y,22349,,N/A,,22349,,8927,Does Not Include All Medicaid Determinations Made At Application,93,Does Not Include All CHIP Determinations Made At Application,9020,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1031667,,40.5773,-77.264,955856,,75811,
TN,Tennessee,06/01/2017,N,U,Y,545,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,545,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,454,,454,Does Not Include All Medicaid Determinations Made At Application,,1498146,,41.6772,-71.5101,1418288,,79858,
TX,Texas,06/01/2017,N,U,Y,129944,,N/A,,129944,,105639,,15519,,121158,,,4431050,,33.8191,-80.9066,3882210,,548840,
UT,Utah,06/01/2017,N,U,Y,22504,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,22504,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",44305,Includes CHIP,,,44305,,,306849,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,259048,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,47801,
VT,Vermont,06/01/2017,Y,U,Y,3335,,1566,,4901,Includes Renewals and/or Redeterminations,4079,Includes Renewals and/or Redeterminations,98,,4177,,,169702,,31.106,-97.6475,164772,,4930,
VA,Virginia,06/01/2017,Y,U,Y,23142,Includes Renewals and/or Redeterminations,N/A,,23142,Includes Renewals and/or Redeterminations,15258,Includes Renewals and/or Redeterminations,616,Includes Renewals and/or Redeterminations,15874,Includes Renewals and/or Redeterminations,,1011261,,35.7449,-86.7489,887688,,123573,
WA,Washington,06/01/2017,Y,U,Y,18937,,64739,,83676,,36895,,1187,,38082,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1806584,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1753830,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),52754,
WV,West Virginia,06/01/2017,Y,U,Y,21630,,N/A,,21630,,10682,,461,,11143,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),546884,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,514901,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),31983,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
WI,Wisconsin,06/01/2017,N,U,Y,23804,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23804,Does Not Include All Applications for Limited-Benefit Programs,18231,"Count is of Households, Not Individuals",976,,19207,,,1039204,,37.768,-78.2057,977320,,61884,
WY,Wyoming,06/01/2017,N,U,Y,1402,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1402,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,,,,,,,,60822,,44.0407,-72.7093,56558,,4264,
