State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
WI,Wisconsin,10/01/2019,N,U,Y,25831,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,25831,Does Not Include All Applications for Limited-Benefit Programs,18982,"Count is of Households, Not Individuals",1194,,20176,,506598,,1045935,,37.768,-78.2057,"(37.768, -78.2057)",976917,,69018,
KY,Kentucky,10/01/2019,Y,U,Y,9628,,,,9628,,30623,,1695,,32318,,551738,,1192782,,38.5111,-96.8005,"(38.5111, -96.8005)",1100317,,92465,
DE,Delaware,10/01/2019,Y,P,N,2955,,N/A,,2955,,4849,,757,,5606,,104756,,246981,,38.8964,-77.0262,"(38.8964, -77.0262)",235598,,11383,
NC,North Carolina,10/01/2019,N,P,N,24206,,N/A,,24206,,36086,,4051,,40137,,1176084,,1741357,,32.7673,-89.6812,"(32.7673, -89.6812)",1467651,,273706,
VT,Vermont,10/01/2019,Y,U,Y,2976,,1826,,4802,Includes Renewals and/or Redeterminations,5350,Includes Renewals and/or Redeterminations,142,,5492,,61192,,151750,,31.106,-97.6475,"(31.106, -97.6475)",147252,,4498,
WV,West Virginia,10/01/2019,Y,U,Y,19826,,N/A,,19826,,12438,,677,,13115,,215198,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),513499,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",479429,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),34070,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
NV,Nevada,10/01/2019,Y,U,Y,20909,Includes Renewals and/or Redeterminations,N/A,,20909,Includes Renewals and/or Redeterminations,12845,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",66,,12911,,298087,,630701,,40.314,-74.5089,"(40.314, -74.5089)",590902,,39799,
IN,Indiana,10/01/2019,Y,P,N,97957,,N/A,,97957,,40094,,3839,,43933,,791090,,1465368,,40.3363,-89.0022,"(40.3363, -89.0022)",1354643,,110725,
CT,Connecticut,10/01/2019,Y,P,N,6031,,12475,,18506,,16728,,392,,17120,,333764,,851428,,39.0646,-105.3272,"(39.0646, -105.3272)",831289,,20139,
IL,Illinois,10/01/2019,Y,U,Y,69429,,N/A,,69429,,29061,,9424,,38485,,1350045,,2839280,,44.2394,-114.5103,"(44.2394, -114.5103)",2564097,,275183,
MA,Massachusetts,10/01/2019,Y,U,Y,18205,,2251,,20456,,13741,,972,,14713,,679394,,1579215,,31.1801,-91.8749,"(31.1801, -91.8749)",1389135,,190080,
MN,Minnesota,10/01/2019,Y,U,Y,6732,,19390,,26122,,18361,,63,,18424,,530404,,1044497,,43.3504,-84.5603,"(43.3504, -84.5603)",1043130,,1367,
OH,Ohio,10/01/2019,Y,U,Y,75449,Includes Renewals and/or Redeterminations,N/A,,75449,Includes Renewals and/or Redeterminations,61016,Includes CHIP; Includes Renewals and/or Redeterminations,3590,,64606,Includes Renewals and/or Redeterminations,1174978,,2643811,,38.4199,-117.1219,"(38.4199, -117.1219)",2445033,,198778,
MI,Michigan,10/01/2019,Y,P,N,61190,,N/A,,61190,,55290,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,2096,,57386,,929052,Does Not Include All Full-Benefit Child Medicaid enrollees,2283411,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2218417,Does Not Include All Full-Benefit Medicaid enrollees,64994,
AL,Alabama,10/01/2019,N,U,Y,13367,,N/A,,13367,,13653,,1607,,15260,,664904,,928078,,32.799,-86.8073,"(32.799, -86.8073)",755371,,172707,
IA,Iowa,10/01/2019,Y,U,Y,16100,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,16100,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1263,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1263,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,338908,,700061,,21.1098,-157.5311,"(21.1098, -157.5311)",622828,,77233,
CA,California,10/01/2019,Y,U,Y,178291,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,178291,,162019,Does Not Include All Medicaid Determinations Made At Application,12796,Does Not Include All CHIP Determinations Made At Application,174815,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4874521,,11697526,,33.7712,-111.3877,"(33.7712, -111.3877)",10382097,,1315429,
NJ,New Jersey,10/01/2019,Y,P,N,42762,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,42762,Does Not Include All Non-MAGI Applications,16749,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,7158,,23907,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,803261,,1680911,,41.1289,-98.2883,"(41.1289, -98.2883)",1455528,,225383,
RI,Rhode Island,10/01/2019,Y,P,N,1324,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1324,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",1742,,149,,1891,,117987,,297841,,44.5672,-122.1269,"(44.5672, -122.1269)",265142,,32699,
OK,Oklahoma,10/01/2019,N,P,N,47985,Includes Renewals and/or Redeterminations,N/A,,47985,Includes Renewals and/or Redeterminations,45621,Includes Renewals and/or Redeterminations,8090,,53711,Includes Renewals and/or Redeterminations,512444,,729961,,42.1497,-74.9384,"(42.1497, -74.9384)",608239,,121722,
AR,Arkansas,10/01/2019,Y,U,Y,21241,,N/A,,21241,,26461,,2352,,28813,,433540,,862476,,34.9513,-92.3809,"(34.9513, -92.3809)",771346,,91130,
TN,Tennessee,10/01/2019,N,P,N,18706,,N/A,,18706,,12574,,1077,,13651,,813659,,1436745,,41.6772,-71.5101,"(41.6772, -71.5101)",1383885,,52860,
OH,Ohio,10/01/2019,Y,P,N,75449,Includes Renewals and/or Redeterminations,N/A,,75449,Includes Renewals and/or Redeterminations,61016,Includes CHIP; Includes Renewals and/or Redeterminations,3590,,64606,Includes Renewals and/or Redeterminations,1174978,,2643811,,38.4199,-117.1219,"(38.4199, -117.1219)",2445033,,198778,
KY,Kentucky,10/01/2019,Y,P,N,9940,,,,9940,,32046,,1729,,33775,,555230,,1199048,,38.5111,-96.8005,"(38.5111, -96.8005)",1108471,,90577,
SC,South Carolina,10/01/2019,N,P,N,26308,,N/A,,26308,,8312,Does Not Include All Medicaid Determinations Made At Application,184,Does Not Include All CHIP Determinations Made At Application,8496,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,652750,,1036997,,40.5773,-77.264,"(40.5773, -77.264)",944278,,92719,
OR,Oregon,10/01/2019,Y,P,N,12986,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12986,Does Not Include All Non-MAGI Applications,21895,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2565,,24460,Does Not Include All Non-MAGI Determinations Made At Application,414216,,986932,,40.3736,-82.7755,"(40.3736, -82.7755)",858485,,128447,
NY,New York,10/01/2019,Y,U,Y,,,854600,Includes Renewals and/or Redeterminations,854600,Includes Renewals and/or Redeterminations,114292,Includes Renewals and/or Redeterminations,7166,Includes Renewals and/or Redeterminations,121458,Includes Renewals and/or Redeterminations,2496514,Includes Limited-Benefit Enrollees,6520456,Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5833444,Includes Limited-Benefit Enrollees,687012,
AZ,Arizona,10/01/2019,Y,P,N,117684,,N/A,,117684,,,,,,,,,,1719616,,14.2417,-170.7197,"(14.2417, -170.7197)",1620566,,99050,
GA,Georgia,10/01/2019,N,U,Y,46389,,N/A,,46389,,24028,,708,,24736,,1273274,,1847785,,27.8333,-81.717,"(27.8333, -81.717)",1635870,,211915,
VT,Vermont,10/01/2019,Y,P,N,2976,,1826,,4802,Includes Renewals and/or Redeterminations,3596,Includes Renewals and/or Redeterminations,80,,3676,,60796,,150766,,31.106,-97.6475,"(31.106, -97.6475)",146341,,4425,
MT,Montana,10/01/2019,Y,U,Y,4621,,N/A,,4621,,5091,,490,,5581,,122324,,265908,,14.8058,145.5505,"(14.8058, 145.5505)",237580,,28328,
WA,Washington,10/01/2019,Y,U,Y,73739,,71748,,145487,,107096,,1938,,109034,,822109,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1708510,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1638346,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),70164,
NY,New York,10/01/2019,Y,P,N,,,854600,Includes Renewals and/or Redeterminations,854600,Includes Renewals and/or Redeterminations,109785,Includes Renewals and/or Redeterminations,7082,Includes Renewals and/or Redeterminations,116867,Includes Renewals and/or Redeterminations,2482078,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,6488251,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5806239,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,682012,
CA,California,10/01/2019,Y,P,N,178291,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,178291,,162019,Does Not Include All Medicaid Determinations Made At Application,12796,Does Not Include All CHIP Determinations Made At Application,174815,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4842484,,11625083,,33.7712,-111.3877,"(33.7712, -111.3877)",10318715,,1306368,
IA,Iowa,10/01/2019,Y,P,N,15676,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15676,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1263,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1263,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,335281,,691826,,21.1098,-157.5311,"(21.1098, -157.5311)",615188,,76638,
IL,Illinois,10/01/2019,Y,P,N,69429,,N/A,,69429,,29061,,9424,,38485,,1342551,,2819620,,44.2394,-114.5103,"(44.2394, -114.5103)",2543851,,275769,
SD,South Dakota,10/01/2019,N,U,Y,2856,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2856,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1634,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1634,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78019,,109732,,18.2766,-66.335,"(18.2766, -66.335)",93971,,15761,
LA,Louisiana,10/01/2019,Y,U,Y,32808,,N/A,,32808,,22318,,2084,,24402,,731669,,1522276,,37.669,-84.6514,"(37.669, -84.6514)",1402590,,119686,
DE,Delaware,10/01/2019,Y,U,Y,2955,,N/A,,2955,,4849,,757,,5606,,105591,,230763,,38.8964,-77.0262,"(38.8964, -77.0262)",219303,,11460,
AR,Arkansas,10/01/2019,Y,P,N,21080,,N/A,,21080,,16829,,1271,,18100,,427844,,851557,,34.9513,-92.3809,"(34.9513, -92.3809)",761041,,90516,
MA,Massachusetts,10/01/2019,Y,P,N,17232,,1532,,18764,,,,,,,,671371,,1558699,,31.1801,-91.8749,"(31.1801, -91.8749)",1372008,,186691,
MS,Mississippi,10/01/2019,N,U,Y,19421,,N/A,,19421,,13004,,617,,13621,,419061,,618791,,38.4623,-92.302,"(38.4623, -92.302)",541783,,77008,
AL,Alabama,10/01/2019,N,P,N,13367,,N/A,,13367,,13653,,1607,,15260,,652681,,920626,,32.799,-86.8073,"(32.799, -86.8073)",750472,,170154,
ND,North Dakota,10/01/2019,Y,P,N,2524,,N/A,,2524,,2455,,66,,2521,,42921,,91269,,46.9048,-110.3261,"(46.9048, -110.3261)",89138,,2131,
TN,Tennessee,10/01/2019,N,U,Y,18609,,N/A,,18609,,12611,,1077,,13688,,818671,,1448128,,41.6772,-71.5101,"(41.6772, -71.5101)",1395268,,52860,
SC,South Carolina,10/01/2019,N,U,Y,26308,,N/A,,26308,,8312,Does Not Include All Medicaid Determinations Made At Application,184,Does Not Include All CHIP Determinations Made At Application,8496,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,652750,,1036997,,40.5773,-77.264,"(40.5773, -77.264)",944278,,92719,
MO,Missouri,10/01/2019,N,P,N,22345,Includes Renewals and/or Redeterminations,N/A,,22345,Includes Renewals and/or Redeterminations,11245,Includes Renewals and/or Redeterminations,482,Includes Renewals and/or Redeterminations,11727,Includes Renewals and/or Redeterminations,524374,,835644,,45.7326,-93.9196,"(45.7326, -93.9196)",799681,,35963,
MD,Maryland,10/01/2019,Y,P,N,7417,,101523,Includes Renewals and/or Redeterminations,108940,Includes Renewals and/or Redeterminations,39494,Includes Renewals and/or Redeterminations,4081,Includes Renewals and/or Redeterminations,43575,Includes Renewals and/or Redeterminations,618481,,1321008,,42.2373,-71.5314,"(42.2373, -71.5314)",1174892,,146116,
NM,New Mexico,10/01/2019,Y,P,N,12542,,N/A,,12542,,17408,,1611,,19019,,329876,,735159,,43.4108,-71.5653,"(43.4108, -71.5653)",697258,,37901,
TX,Texas,10/01/2019,N,P,N,116337,,N/A,,116337,,95539,,14196,,109735,,3293172,,4187345,,33.8191,-80.9066,"(33.8191, -80.9066)",3586055,,601290,
NE,Nebraska,10/01/2019,N,P,N,6114,,N/A,,6114,,6510,,1007,,7517,,161682,,242897,,35.6411,-79.8431,"(35.6411, -79.8431)",209107,,33790,
AK,Alaska,10/01/2019,Y,P,N,3274,Includes Renewals and/or Redeterminations,N/A,,3274,Includes Renewals and/or Redeterminations,2314,Includes Renewals and/or Redeterminations; Includes CHIP,137,,2451,Includes Renewals and/or Redeterminations,97187,,220690,,61.385,-152.2683,"(61.385, -152.2683)",204348,,16342,
ID,Idaho,10/01/2019,N,P,N,12809,,,,12809,,12601,,1032,,13633,,186514,,263397,,42.0046,-93.214,"(42.0046, -93.214)",237547,,25850,
OK,Oklahoma,10/01/2019,N,U,Y,47985,Includes Renewals and/or Redeterminations,N/A,,47985,Includes Renewals and/or Redeterminations,45621,Includes Renewals and/or Redeterminations,8090,,53711,Includes Renewals and/or Redeterminations,512444,,729961,,42.1497,-74.9384,"(42.1497, -74.9384)",608239,,121722,
PA,Pennsylvania,10/01/2019,Y,U,Y,101762,Includes Renewals and/or Redeterminations,N/A,,101762,Includes Renewals and/or Redeterminations,94282,Includes Renewals and/or Redeterminations,11956,,106238,Includes Renewals and/or Redeterminations,1389372,,2937359,,35.5376,-96.9247,"(35.5376, -96.9247)",2752447,,184912,
WA,Washington,10/01/2019,Y,P,N,72642,,71065,,143707,,107062,,1941,,109003,,822109,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1708510,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1638346,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),70164,
VA,Virginia,10/01/2019,Y,P,N,35972,Includes Renewals and/or Redeterminations,N/A,,35972,Includes Renewals and/or Redeterminations,28695,Includes Renewals and/or Redeterminations,950,Includes Renewals and/or Redeterminations,29645,Includes Renewals and/or Redeterminations,732094,,1351713,,35.7449,-86.7489,"(35.7449, -86.7489)",1205055,,146658,
WY,Wyoming,10/01/2019,N,P,N,1416,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1416,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,838,,49,,887,,35498,,53858,,44.0407,-72.7093,"(44.0407, -72.7093)",49701,,4157,
NH,New Hampshire,10/01/2019,Y,P,N,8509,,N/A,,8509,,5267,,602,,5869,,88061,,176384,,47.5362,-99.793,"(47.5362, -99.793)",161499,,14885,
PA,Pennsylvania,10/01/2019,Y,P,N,85391,Includes Renewals and/or Redeterminations,N/A,,85391,Includes Renewals and/or Redeterminations,81095,Includes Renewals and/or Redeterminations,11956,,93051,Includes Renewals and/or Redeterminations,1383802,,2923102,,35.5376,-96.9247,"(35.5376, -96.9247)",2738190,,184912,
FL,Florida,10/01/2019,N,U,Y,271644,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,271644,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,173442,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,20997,,194439,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2435574,,3640328,,39.3498,-75.5148,"(39.3498, -75.5148)",3400609,,239719,
