State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
WV,West Virginia,11/01/2018,Y,U,Y,19948,,N/A,,19948,,11072,,622,,11694,,218876,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),522931,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",489398,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33533,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
SC,South Carolina,11/01/2018,N,U,Y,22867,,N/A,,22867,,6614,Does Not Include All Medicaid Determinations Made At Application,282,Does Not Include All CHIP Determinations Made At Application,6896,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,652298,,1043301,,40.5773,-77.264,"(40.5773, -77.264)",954359,,88942,
PA,Pennsylvania,11/01/2018,Y,U,Y,90347,Includes Renewals and/or Redeterminations,N/A,,90347,Includes Renewals and/or Redeterminations,81561,Includes Renewals and/or Redeterminations,8883,,90444,Includes Renewals and/or Redeterminations,1396429,,2960024,,35.5376,-96.9247,"(35.5376, -96.9247)",2779764,,180260,
WA,Washington,11/01/2018,Y,U,Y,72125,,133030,,205155,,111962,,2726,,114688,,830385,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1734705,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1665782,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),68923,
CT,Connecticut,11/01/2018,Y,U,Y,5313,Includes Duplicates,17214,Includes Duplicates; Includes Renewals and/or Redeterminations,22527,Includes Duplicates,15583,Includes Renewals and/or Redeterminations,570,Includes Renewals and/or Redeterminations,16153,Includes Renewals and/or Redeterminations,329960,,852186,,39.0646,-105.3272,"(39.0646, -105.3272)",832770,,19416,
IN,Indiana,11/01/2018,Y,U,Y,79038,,N/A,,79038,,34524,,3394,,37918,,803037,,1456348,,40.3363,-89.0022,"(40.3363, -89.0022)",1343395,,112953,
AL,Alabama,11/01/2018,N,U,Y,18671,,N/A,,18671,,13468,,1994,,15462,,652206,,914534,,32.799,-86.8073,"(32.799, -86.8073)",741639,,172895,
TN,Tennessee,11/01/2018,N,U,Y,,,N/A,,,,,,,,,,,,1388072,,41.6772,-71.5101,"(41.6772, -71.5101)",1335192,,52880,
CA,California,11/01/2018,Y,U,Y,214164,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,214164,,139541,Does Not Include All Medicaid Determinations Made At Application,11492,Does Not Include All CHIP Determinations Made At Application,151033,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4994072,,11954943,,33.7712,-111.3877,"(33.7712, -111.3877)",10649768,,1305175,
IA,Iowa,11/01/2018,Y,U,Y,14729,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,14729,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1181,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1181,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,334648,,690948,,21.1098,-157.5311,"(21.1098, -157.5311)",619288,,71660,
AZ,Arizona,11/01/2018,Y,U,Y,103771,,N/A,,103771,,,,,,,,,,1701640,,14.2417,-170.7197,"(14.2417, -170.7197)",1599420,,102220,
AR,Arkansas,11/01/2018,Y,U,Y,28959,,N/A,,28959,,9491,,588,,10079,,426949,,850695,,34.9513,-92.3809,"(34.9513, -92.3809)",764096,,86599,
MO,Missouri,11/01/2018,N,U,Y,18967,,N/A,,18967,,8347,"Includes CHIP; Count is of Households, Not Individuals",,,8347,"Count is of Households, Not Individuals",569605,,895063,,45.7326,-93.9196,"(45.7326, -93.9196)",863924,,31139,
HI,Hawaii,11/01/2018,Y,U,Y,5020,,N/A,,5020,,6126,,585,,6711,,140749,,331712,,32.9866,-83.6487,"(32.9866, -83.6487)",306577,,25135,
VT,Vermont,11/01/2018,Y,U,Y,2958,,1834,,4792,Includes Renewals and/or Redeterminations,5303,Includes Renewals and/or Redeterminations,155,,5458,,63086,,159616,,31.106,-97.6475,"(31.106, -97.6475)",155133,,4483,
KY,Kentucky,11/01/2018,Y,U,Y,9344,,,,9344,,34181,,2192,,36373,,563881,,1219786,,38.5111,-96.8005,"(38.5111, -96.8005)",1130180,,89606,
DE,Delaware,11/01/2018,Y,U,Y,4659,,N/A,,4659,,4808,,828,,5636,,105487,Includes Limited-Benefit Enrollees,248489,Includes Limited-Benefit Enrollees,38.8964,-77.0262,"(38.8964, -77.0262)",237084,Includes Limited-Benefit Enrollees,11405,
VA,Virginia,11/01/2018,Y,U,Y,32496,Includes Renewals and/or Redeterminations,N/A,,32496,Includes Renewals and/or Redeterminations,30437,Includes Renewals and/or Redeterminations,1135,Includes Renewals and/or Redeterminations,31572,Includes Renewals and/or Redeterminations,699497,,1049654,,35.7449,-86.7489,"(35.7449, -86.7489)",907859,,141795,
NE,Nebraska,11/01/2018,N,U,Y,6301,,N/A,,6301,,5239,,999,,6238,,161777,,244380,,35.6411,-79.8431,"(35.6411, -79.8431)",212547,,31833,
MI,Michigan,11/01/2018,Y,U,Y,49278,,N/A,,49278,,45883,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1775,,47658,,948513,Does Not Include All Full-Benefit Child Medicaid enrollees,2334785,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2274958,Does Not Include All Full-Benefit Medicaid enrollees,59827,
MA,Massachusetts,11/01/2018,Y,U,Y,17289,,4299,,21588,,,,,,,,686863,,1601598,,31.1801,-91.8749,"(31.1801, -91.8749)",1410808,,190790,
ND,North Dakota,11/01/2018,Y,U,Y,2773,,N/A,,2773,,2098,,81,,2179,,43069,,91378,,46.9048,-110.3261,"(46.9048, -110.3261)",89250,,2128,
NM,New Mexico,11/01/2018,Y,U,Y,11781,,N/A,,11781,,19389,,1483,,20872,,330568,,727516,,43.4108,-71.5653,"(43.4108, -71.5653)",690720,,36796,
ID,Idaho,11/01/2018,N,U,Y,13135,,,,13135,,6109,,503,,6612,,201899,,280331,,42.0046,-93.214,"(42.0046, -93.214)",256110,,24221,
CO,Colorado,11/01/2018,Y,U,Y,22829,,169,,22998,,19729,,430,,20159,,594285,,1315090,,36.17,-119.7462,"(36.17, -119.7462)",1232557,,82533,
NJ,New Jersey,11/01/2018,Y,U,Y,36113,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,36113,Does Not Include All Non-MAGI Applications,12099,Does Not Include All Non-MAGI Determinations Made At Application,4513,Does Not Include All CHIP Determinations Made At Application,16612,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,828070,,1741615,,41.1289,-98.2883,"(41.1289, -98.2883)",1529658,,211957,
MD,Maryland,11/01/2018,Y,U,Y,7241,,114851,Includes Renewals and/or Redeterminations,122092,Includes Renewals and/or Redeterminations,30882,Includes Renewals and/or Redeterminations,4141,Includes Renewals and/or Redeterminations,35023,Includes Renewals and/or Redeterminations,617747,,1313879,,42.2373,-71.5314,"(42.2373, -71.5314)",1158172,,155707,
NC,North Carolina,11/01/2018,N,U,Y,21783,,N/A,,21783,,30177,,3786,,33963,,1186031,,1767371,,32.7673,-89.6812,"(32.7673, -89.6812)",1511974,,255397,
GA,Georgia,11/01/2018,N,U,Y,42115,,N/A,,42115,,25424,,972,,26396,,1238767,,1813852,,27.8333,-81.717,"(27.8333, -81.717)",1603830,,210022,
WY,Wyoming,11/01/2018,N,U,Y,1477,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1477,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,640,,24,,664,,39438,,58796,,44.0407,-72.7093,"(44.0407, -72.7093)",54102,,4694,
SD,South Dakota,11/01/2018,N,U,Y,3407,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,3407,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1520,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1520,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78844,,110803,,18.2766,-66.335,"(18.2766, -66.335)",94863,,15940,
UT,Utah,11/01/2018,N,U,Y,25811,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,25811,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",35781,Includes CHIP,,,35781,,197745,,291759,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",247265,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44494,
LA,Louisiana,11/01/2018,Y,U,Y,23415,,N/A,,23415,,64404,,3409,,67813,,744346,,1565073,,37.669,-84.6514,"(37.669, -84.6514)",1432359,,132714,
MT,Montana,11/01/2018,Y,U,Y,3787,,N/A,,3787,,3612,,325,,3937,,127910,,279041,,14.8058,145.5505,"(14.8058, 145.5505)",250682,,28359,
AK,Alaska,11/01/2018,Y,U,Y,3685,Includes Renewals and/or Redeterminations,N/A,,3685,Includes Renewals and/or Redeterminations,3396,Includes Renewals and/or Redeterminations; Includes CHIP,218,,3614,Includes Renewals and/or Redeterminations,95187,,213702,,61.385,-152.2683,"(61.385, -152.2683)",198867,,14835,
KS,Kansas,11/01/2018,N,U,Y,,,N/A,,,,,,,,,,269883,,389662,,39.8647,-86.2604,"(39.8647, -86.2604)",334859,,54803,
TX,Texas,11/01/2018,N,U,Y,121402,,N/A,,121402,,82176,,13575,,95751,,3417651,,4324332,,33.8191,-80.9066,"(33.8191, -80.9066)",3714118,,610214,
MS,Mississippi,11/01/2018,N,U,Y,16859,,N/A,,16859,,10141,,540,,10681,,421080,,620984,,38.4623,-92.302,"(38.4623, -92.302)",545121,,75863,
OR,Oregon,11/01/2018,Y,U,Y,13587,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,13587,Does Not Include All Non-MAGI Applications,22491,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2206,,24697,Does Not Include All Non-MAGI Determinations Made At Application,415129,,977643,,40.3736,-82.7755,"(40.3736, -82.7755)",851055,,126588,
