State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
VT,Vermont,09/01/2018,Y,U,Y,2949,,1184,,4133,Includes Renewals and/or Redeterminations,5680,Includes Renewals and/or Redeterminations,156,,5836,,63306,,161260,,31.106,-97.6475,"(31.106, -97.6475)",156865,,4395,
AL,Alabama,09/01/2018,N,U,Y,19871,,N/A,,19871,,25818,,2964,,28782,,648258,,910008,,32.799,-86.8073,"(32.799, -86.8073)",738452,,171556,
RI,Rhode Island,09/01/2018,Y,U,Y,2239,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2239,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2874,,602,,3476,,122971,,310961,,44.5672,-122.1269,"(44.5672, -122.1269)",278985,,31976,
NV,Nevada,09/01/2018,Y,U,Y,17156,Includes Renewals and/or Redeterminations,N/A,,17156,Includes Renewals and/or Redeterminations,10843,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",63,,10906,,307532,,644952,,40.314,-74.5089,"(40.314, -74.5089)",603686,,41266,
WI,Wisconsin,09/01/2018,N,U,Y,22712,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,22712,Does Not Include All Applications for Limited-Benefit Programs,17018,"Count is of Households, Not Individuals",990,,18008,,484751,,1029055,,37.768,-78.2057,"(37.768, -78.2057)",959550,,69505,
OK,Oklahoma,09/01/2018,N,U,Y,42834,Includes Renewals and/or Redeterminations,N/A,,42834,Includes Renewals and/or Redeterminations,39976,Includes Renewals and/or Redeterminations,8294,,48270,Includes Renewals and/or Redeterminations,515398,,735297,,42.1497,-74.9384,"(42.1497, -74.9384)",617107,,118190,
WA,Washington,09/01/2018,Y,U,Y,66066,,66750,,132816,,95446,,1736,,97182,,830837,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1734000,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1668078,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),65922,
MI,Michigan,09/01/2018,Y,U,Y,48586,,N/A,,48586,,43613,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1406,,45019,,952171,Does Not Include All Full-Benefit Child Medicaid enrollees,2347955,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2290217,Does Not Include All Full-Benefit Medicaid enrollees,57738,
NJ,New Jersey,09/01/2018,Y,U,Y,32797,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,32797,Does Not Include All Non-MAGI Applications,9208,Does Not Include All Non-MAGI Determinations Made At Application,4356,Does Not Include All CHIP Determinations Made At Application,13564,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,839250,,1765952,,41.1289,-98.2883,"(41.1289, -98.2883)",1553002,,212950,
VA,Virginia,09/01/2018,Y,U,Y,19167,Includes Renewals and/or Redeterminations,N/A,,19167,Includes Renewals and/or Redeterminations,15942,Includes Renewals and/or Redeterminations,735,Includes Renewals and/or Redeterminations,16677,Includes Renewals and/or Redeterminations,696350,,1046208,,35.7449,-86.7489,"(35.7449, -86.7489)",907030,,139178,
IL,Illinois,09/01/2018,Y,U,Y,58913,,N/A,,58913,,35161,,12375,,47536,,1391808,,2955094,,44.2394,-114.5103,"(44.2394, -114.5103)",2716660,,238434,
DC,District of Columbia,09/01/2018,Y,U,Y,3121,Includes SBM data,,,3121,Includes Renewals and/or Redeterminations,2917,Includes Renewals and/or Redeterminations; Includes CHIP,,,2917,,,,257992,,41.5834,-72.7622,"(41.5834, -72.7622)",242219,,15773,
AK,Alaska,09/01/2018,Y,U,Y,2806,Includes Renewals and/or Redeterminations,N/A,,2806,Includes Renewals and/or Redeterminations,2126,Includes Renewals and/or Redeterminations; Includes CHIP,,,2126,Includes Renewals and/or Redeterminations,94323,,210368,,61.385,-152.2683,"(61.385, -152.2683)",196445,,13923,
ID,Idaho,09/01/2018,N,U,Y,7122,,,,7122,,6213,,435,,6648,,200340,,278382,,42.0046,-93.214,"(42.0046, -93.214)",254013,,24369,
SC,South Carolina,09/01/2018,N,U,Y,19605,,N/A,,19605,,5835,Does Not Include All Medicaid Determinations Made At Application,182,Does Not Include All CHIP Determinations Made At Application,6017,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,650369,,1039508,,40.5773,-77.264,"(40.5773, -77.264)",951101,,88407,
GA,Georgia,09/01/2018,N,U,Y,43340,,N/A,,43340,,29648,,1094,,30742,,1234311,,1808021,,27.8333,-81.717,"(27.8333, -81.717)",1597709,,210312,
AR,Arkansas,09/01/2018,Y,U,Y,13915,,N/A,,13915,,,,,,,,429908,,868402,,34.9513,-92.3809,"(34.9513, -92.3809)",784671,,83731,
IA,Iowa,09/01/2018,Y,U,Y,13306,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13306,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1305,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1305,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,334020,,688715,,21.1098,-157.5311,"(21.1098, -157.5311)",617786,,70929,
NH,New Hampshire,09/01/2018,Y,U,Y,7300,,N/A,,7300,,4385,,445,,4830,,91241,,184595,,47.5362,-99.793,"(47.5362, -99.793)",169991,,14604,
MA,Massachusetts,09/01/2018,Y,U,Y,17094,,2811,,19905,,,,,,,,685222,,1611196,,31.1801,-91.8749,"(31.1801, -91.8749)",1427596,,183600,
CO,Colorado,09/01/2018,Y,U,Y,19967,,1141,,21108,,17395,,311,,17706,,599669,,1339116,,36.17,-119.7462,"(36.17, -119.7462)",1258787,,80329,
NM,New Mexico,09/01/2018,Y,U,Y,11616,,N/A,,11616,,19364,,1437,,20801,,329285,,723304,,43.4108,-71.5653,"(43.4108, -71.5653)",687410,,35894,
MT,Montana,09/01/2018,Y,U,Y,3335,,N/A,,3335,,3191,,278,,3469,,129114,,280737,,14.8058,145.5505,"(14.8058, 145.5505)",253030,,27707,
DE,Delaware,09/01/2018,Y,U,Y,2774,,N/A,,2774,,4970,,842,,5812,,105436,Includes Limited-Benefit Enrollees,248352,Includes Limited-Benefit Enrollees,38.8964,-77.0262,"(38.8964, -77.0262)",237198,Includes Limited-Benefit Enrollees,11154,
PA,Pennsylvania,09/01/2018,Y,U,Y,86410,Includes Renewals and/or Redeterminations,N/A,,86410,Includes Renewals and/or Redeterminations,76879,Includes Renewals and/or Redeterminations,9445,,86324,Includes Renewals and/or Redeterminations,1395058,,2955558,,35.5376,-96.9247,"(35.5376, -96.9247)",2777035,,178523,
ME,Maine,09/01/2018,Y,U,Y,4657,,N/A,,4657,,9003,,612,,9615,,108094,,263078,,39.0724,-76.7902,"(39.0724, -76.7902)",252735,,10343,
UT,Utah,09/01/2018,N,U,Y,18873,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,18873,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",50040,Includes CHIP,,,50040,,200757,,294766,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",250116,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44650,
ND,North Dakota,09/01/2018,Y,U,Y,1745,,N/A,,1745,,1839,,45,,1884,,43661,,92922,,46.9048,-110.3261,"(46.9048, -110.3261)",90825,,2097,
TX,Texas,09/01/2018,N,U,Y,119714,,N/A,,119714,,88991,,14127,,103118,,3439217,,4354009,,33.8191,-80.9066,"(33.8191, -80.9066)",3745746,,608263,
HI,Hawaii,09/01/2018,Y,U,Y,4589,,N/A,,4589,,5079,,363,,5442,,142065,,334678,,32.9866,-83.6487,"(32.9866, -83.6487)",309661,,25017,
MS,Mississippi,09/01/2018,N,U,Y,17560,,N/A,,17560,,11760,,546,,12306,,423539,,624659,,38.4623,-92.302,"(38.4623, -92.302)",548359,,76300,
MD,Maryland,09/01/2018,Y,U,Y,6691,,90889,Includes Renewals and/or Redeterminations,97580,Includes Renewals and/or Redeterminations,27212,Includes Renewals and/or Redeterminations,3759,Includes Renewals and/or Redeterminations,30971,Includes Renewals and/or Redeterminations,617480,,1312423,,42.2373,-71.5314,"(42.2373, -71.5314)",1158182,,154241,
NE,Nebraska,09/01/2018,N,U,Y,5621,,N/A,,5621,,6627,,987,,7614,,165341,,248524,,35.6411,-79.8431,"(35.6411, -79.8431)",214252,,34272,
WV,West Virginia,09/01/2018,Y,U,Y,20319,,N/A,,20319,,11109,,644,,11753,,220352,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),528115,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",494644,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33471,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
KS,Kansas,09/01/2018,N,U,Y,,,N/A,,,,,,,,,,265890,,384737,,39.8647,-86.2604,"(39.8647, -86.2604)",331938,,52799,
IN,Indiana,09/01/2018,Y,U,Y,83371,,N/A,,83371,,35148,,3332,,38480,,804412,,1454161,,40.3363,-89.0022,"(40.3363, -89.0022)",1342129,,112032,
TN,Tennessee,09/01/2018,N,U,Y,514,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,514,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,403,,403,Does Not Include All Medicaid Determinations Made At Application,,,1388863,,41.6772,-71.5101,"(41.6772, -71.5101)",1336779,,52084,
KY,Kentucky,09/01/2018,Y,U,Y,,,9622,,9622,,,,,,,,566503,,1227272,,38.5111,-96.8005,"(38.5111, -96.8005)",1139873,,87399,
MO,Missouri,09/01/2018,N,U,Y,18816,,N/A,,18816,,9620,"Includes CHIP; Count is of Households, Not Individuals",,,9620,"Count is of Households, Not Individuals",590445,,921839,,45.7326,-93.9196,"(45.7326, -93.9196)",890076,,31763,
NC,North Carolina,09/01/2018,N,U,Y,18002,,N/A,,18002,,29422,,3424,,32846,,1183844,,1767914,,32.7673,-89.6812,"(32.7673, -89.6812)",1518764,,249150,
AZ,Arizona,09/01/2018,Y,U,Y,100637,,N/A,,100637,,,,,,,,,,1697061,,14.2417,-170.7197,"(14.2417, -170.7197)",1592142,,104919,
