State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MD,Maryland,05/01/2018,Y,U,Y,9497,,87754,Includes Renewals and/or Redeterminations,97251,Includes Renewals and/or Redeterminations,29762,Includes Renewals and/or Redeterminations,3786,Includes Renewals and/or Redeterminations,33548,Includes Renewals and/or Redeterminations,,1322717,,42.2373,-71.5314,1172193,,150524,
MA,Massachusetts,05/01/2018,Y,U,Y,20166,,3142,,23308,,,,,,,,,1645806,,31.1801,-91.8749,1466387,,179419,
MI,Michigan,05/01/2018,Y,U,Y,49495,,N/A,,49495,,47270,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1415,,48685,,Does Not Include All Full-Benefit Child Medicaid enrollees,2364929,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2308845,Does Not Include All Full-Benefit Medicaid enrollees,56084,
MN,Minnesota,05/01/2018,Y,U,Y,6327,,18077,,24404,,18501,,62,,18563,,,1085201,,43.3504,-84.5603,1083872,,1329,
MS,Mississippi,05/01/2018,N,U,Y,17597,,N/A,,17597,,11044,,450,,11494,,,632690,,38.4623,-92.302,555504,,77186,
MT,Montana,05/01/2018,Y,U,Y,3277,,N/A,,3277,,3219,,161,,3380,,,280768,,14.8058,145.5505,255106,,25662,
NE,Nebraska,05/01/2018,N,U,Y,5824,,N/A,,5824,,7362,,817,,8179,,,249735,,35.6411,-79.8431,215856,,33879,
NV,Nevada,05/01/2018,Y,U,Y,19608,Includes Renewals and/or Redeterminations,N/A,,19608,Includes Renewals and/or Redeterminations,12284,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",50,,12334,,,644329,,40.314,-74.5089,603417,,40912,
NH,New Hampshire,05/01/2018,Y,U,Y,8555,,N/A,,8555,,5253,,460,,5713,,,186588,,47.5362,-99.793,172248,,14340,
NJ,New Jersey,05/01/2018,Y,U,Y,30372,,N/A,,30372,,14344,Does Not Include All Medicaid Determinations Made At Application,5107,Does Not Include All CHIP Determinations Made At Application,19451,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1790663,,41.1289,-98.2883,1577060,,213603,
NY,New York,05/01/2018,Y,U,Y,,,611795,Includes Renewals and/or Redeterminations,611795,Includes Renewals and/or Redeterminations,119437,Includes Renewals and/or Redeterminations,8666,Includes Renewals and/or Redeterminations,128103,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6514813,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5898931,Includes Limited-Benefit Enrollees,615882,
NC,North Carolina,05/01/2018,N,U,Y,22729,,N/A,,22729,,35901,,3867,,39768,,,1784052,,32.7673,-89.6812,1542416,,241636,
OH,Ohio,05/01/2018,Y,U,Y,61111,Includes Renewals and/or Redeterminations,N/A,,61111,Includes Renewals and/or Redeterminations,47816,Includes CHIP; Includes Renewals and/or Redeterminations,2871,,50687,Includes Renewals and/or Redeterminations,,2768766,,38.4199,-117.1219,2550722,,218044,
OK,Oklahoma,05/01/2018,N,U,Y,43035,,N/A,,43035,,40177,,7933,,48110,,,735895,,42.1497,-74.9384,616826,,119069,
OR,Oregon,05/01/2018,Y,U,Y,11459,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11459,Does Not Include All Non-MAGI Applications,22611,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2067,,24678,Does Not Include All Non-MAGI Determinations Made At Application,,974631,,40.3736,-82.7755,848838,,125793,
PA,Pennsylvania,05/01/2018,Y,U,Y,87119,Includes Renewals and/or Redeterminations,N/A,,87119,Includes Renewals and/or Redeterminations,52889,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",9091,"Count is of Households, Not Individuals",61980,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,3003329,,35.5376,-96.9247,2824683,,178646,
RI,Rhode Island,05/01/2018,Y,U,Y,2495,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2495,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3551,,535,,4086,,,312490,,44.5672,-122.1269,282333,,30157,
SC,South Carolina,05/01/2018,N,U,Y,21766,,N/A,,21766,,6890,Does Not Include All Medicaid Determinations Made At Application,168,Does Not Include All CHIP Determinations Made At Application,7058,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1042153,,40.5773,-77.264,954420,,87733,
TN,Tennessee,05/01/2018,N,U,Y,566,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,566,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,451,,451,Does Not Include All Medicaid Determinations Made At Application,,1495246,,41.6772,-71.5101,1419941,,75305,
TX,Texas,05/01/2018,N,U,Y,128430,,N/A,,128430,,90204,,14593,,104797,,,4376614,,33.8191,-80.9066,3746860,,629754,
UT,Utah,05/01/2018,N,U,Y,20899,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,20899,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39504,Includes CHIP,,,39504,,,299818,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,254155,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,45663,
VT,Vermont,05/01/2018,Y,U,Y,2961,,2132,,5093,Includes Renewals and/or Redeterminations,4206,Includes Renewals and/or Redeterminations,125,,4331,,,164423,,31.106,-97.6475,159911,,4512,
VA,Virginia,05/01/2018,Y,U,Y,20617,Includes Renewals and/or Redeterminations,N/A,,20617,Includes Renewals and/or Redeterminations,19866,Includes Renewals and/or Redeterminations,1003,Includes Renewals and/or Redeterminations,20869,Includes Renewals and/or Redeterminations,,1043181,,35.7449,-86.7489,903997,,139184,
WA,Washington,05/01/2018,Y,U,Y,19472,,70531,,90003,,38708,,1563,,40271,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1753320,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1691617,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),61703,
WV,West Virginia,05/01/2018,Y,U,Y,20547,,N/A,,20547,,10957,,538,,11495,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),533462,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,500802,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32660,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
WI,Wisconsin,05/01/2018,N,U,Y,23426,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23426,Does Not Include All Applications for Limited-Benefit Programs,17090,"Count is of Households, Not Individuals",991,,18081,,,1029109,,37.768,-78.2057,962327,,66782,
WY,Wyoming,05/01/2018,N,U,Y,1499,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1499,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,615,,53,,668,,,59975,,44.0407,-72.7093,55383,,4592,
