State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
DC,District of Columbia,04/01/2018,Y,U,Y,1584,Includes SBM data,1835,,3419,Includes Renewals and/or Redeterminations,3537,Includes Renewals and/or Redeterminations; Includes CHIP,,,3537,,,258485,,41.5834,-72.7622,245231,,13254,
AK,Alaska,04/01/2018,Y,U,Y,3352,Includes Renewals and/or Redeterminations,N/A,,3352,Includes Renewals and/or Redeterminations,2315,Includes Renewals and/or Redeterminations; Includes CHIP,,,2315,Includes Renewals and/or Redeterminations,,207337,,61.385,-152.2683,194039,,13298,
WI,Wisconsin,04/01/2018,N,U,Y,23381,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23381,Does Not Include All Applications for Limited-Benefit Programs,17239,"Count is of Households, Not Individuals",931,,18170,,,1037033,,37.768,-78.2057,970523,,66510,
ME,Maine,04/01/2018,Y,U,Y,1189,,N/A,,1189,,9475,,559,,10034,,,268784,,39.0724,-76.7902,259016,,9768,
IA,Iowa,04/01/2018,Y,U,Y,14355,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,14355,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1321,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1321,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,677885,,21.1098,-157.5311,608281,,69604,
IL,Illinois,04/01/2018,Y,U,Y,65635,,N/A,,65635,,40004,,14846,,54850,,,2972175,,44.2394,-114.5103,2745204,,226971,
HI,Hawaii,04/01/2018,Y,U,Y,4212,,N/A,,4212,,4911,,248,,5159,,,345012,,32.9866,-83.6487,320336,,24676,
GA,Georgia,04/01/2018,N,U,Y,46419,,N/A,,46419,,38182,,1188,,39370,,,1862452,,27.8333,-81.717,1659045,,203407,
IN,Indiana,04/01/2018,Y,U,Y,85051,,N/A,,85051,,40020,,3679,,43699,,,1459792,,40.3363,-89.0022,1349705,,110087,
OH,Ohio,04/01/2018,Y,U,Y,78684,Includes Renewals and/or Redeterminations,N/A,,78684,Includes Renewals and/or Redeterminations,46793,Includes CHIP; Includes Renewals and/or Redeterminations,2707,,49500,Includes Renewals and/or Redeterminations,,2775439,,38.4199,-117.1219,2559223,,216216,
WA,Washington,04/01/2018,Y,U,Y,19062,,67234,,86296,,37317,,1439,,38756,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1751543,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1690685,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),60858,
NY,New York,04/01/2018,Y,U,Y,,,801900,Includes Renewals and/or Redeterminations,801900,Includes Renewals and/or Redeterminations,120337,Includes Renewals and/or Redeterminations,9934,Includes Renewals and/or Redeterminations,130271,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6508199,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5896327,Includes Limited-Benefit Enrollees,611872,
NJ,New Jersey,04/01/2018,Y,U,Y,26661,,N/A,,26661,,14860,Does Not Include All Medicaid Determinations Made At Application,5287,Does Not Include All CHIP Determinations Made At Application,20147,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1797425,,41.1289,-98.2883,1585243,,212182,
OK,Oklahoma,04/01/2018,N,U,Y,40107,,N/A,,40107,,36955,,6667,,43622,,,736548,,42.1497,-74.9384,616175,,120373,
CA,California,04/01/2018,Y,U,Y,164485,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,164485,,156945,Does Not Include All Medicaid Determinations Made At Application,12508,Does Not Include All CHIP Determinations Made At Application,169453,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,12147513,,33.7712,-111.3877,10830732,,1316781,
NE,Nebraska,04/01/2018,N,U,Y,6092,,N/A,,6092,,7035,,884,,7919,,,250249,,35.6411,-79.8431,216360,,33889,
TX,Texas,04/01/2018,N,U,Y,127430,,N/A,,127430,,84697,,13212,,97909,,,4398226,,33.8191,-80.9066,3768981,,629245,
NH,New Hampshire,04/01/2018,Y,U,Y,8585,,N/A,,8585,,5282,,510,,5792,,,187165,,47.5362,-99.793,172759,,14406,
AL,Alabama,04/01/2018,N,U,Y,18348,,N/A,,18348,,27178,,2438,,29616,,,910213,,32.799,-86.8073,732197,,178016,
MD,Maryland,04/01/2018,Y,U,Y,9434,,82661,Includes Renewals and/or Redeterminations,92095,Includes Renewals and/or Redeterminations,28252,Includes Renewals and/or Redeterminations,3660,Includes Renewals and/or Redeterminations,31912,Includes Renewals and/or Redeterminations,,1328160,,42.2373,-71.5314,1178127,,150033,
AZ,Arizona,04/01/2018,Y,U,Y,,,N/A,,,,,,,,,,,1679239,,14.2417,-170.7197,1579537,,99702,
ID,Idaho,04/01/2018,N,U,Y,8507,,,,8507,,7801,,934,,8735,,,269430,,42.0046,-93.214,244994,,24436,
MA,Massachusetts,04/01/2018,Y,U,Y,19101,,3402,,22503,,,,,,,,,1674065,,31.1801,-91.8749,1493401,,180664,
MI,Michigan,04/01/2018,Y,U,Y,49884,,N/A,,49884,,45508,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1361,,46869,,Does Not Include All Full-Benefit Child Medicaid enrollees,2373421,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2317301,Does Not Include All Full-Benefit Medicaid enrollees,56120,
WY,Wyoming,04/01/2018,N,U,Y,1616,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1616,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,712,,22,,734,,,60619,,44.0407,-72.7093,56035,,4584,
