State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
NC,North Carolina,10/01/2018,N,U,Y,21329,,N/A,,21329,,36216,,4818,,41034,,1180197,,1761267,,32.7673,-89.6812,"(32.7673, -89.6812)",1510658,,250609,
MS,Mississippi,10/01/2018,N,U,Y,18609,,N/A,,18609,,12150,,564,,12714,,420236,,620534,,38.4623,-92.302,"(38.4623, -92.302)",544567,,75967,
OR,Oregon,10/01/2018,Y,U,Y,13712,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,13712,Does Not Include All Non-MAGI Applications,24709,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2703,,27412,Does Not Include All Non-MAGI Determinations Made At Application,415900,,976814,,40.3736,-82.7755,"(40.3736, -82.7755)",850025,,126789,
GA,Georgia,10/01/2018,N,U,Y,47268,,N/A,,47268,,31723,,1149,,32872,,1237338,,1813129,,27.8333,-81.717,"(27.8333, -81.717)",1603555,,209574,
WV,West Virginia,10/01/2018,Y,U,Y,22447,,N/A,,22447,,12091,,750,,12841,,219737,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),526187,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",492726,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33461,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
TN,Tennessee,10/01/2018,N,U,Y,367,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,367,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,316,,316,Does Not Include All Medicaid Determinations Made At Application,,,1393623,,41.6772,-71.5101,"(41.6772, -71.5101)",1341006,,52617,
AK,Alaska,10/01/2018,Y,U,Y,3797,Includes Renewals and/or Redeterminations,N/A,,3797,Includes Renewals and/or Redeterminations,2883,Includes Renewals and/or Redeterminations; Includes CHIP,143,,3026,Includes Renewals and/or Redeterminations,94829,,211746,,61.385,-152.2683,"(61.385, -152.2683)",197355,,14391,
NH,New Hampshire,10/01/2018,Y,U,Y,8428,,N/A,,8428,,5003,,493,,5496,,90965,,183733,,47.5362,-99.793,"(47.5362, -99.793)",169012,,14721,
SD,South Dakota,10/01/2018,N,U,Y,2872,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2872,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1733,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1733,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79095,,111179,,18.2766,-66.335,"(18.2766, -66.335)",95212,,15967,
NV,Nevada,10/01/2018,Y,U,Y,20107,Includes Renewals and/or Redeterminations,N/A,,20107,Includes Renewals and/or Redeterminations,12486,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",62,,12548,,306932,,644810,,40.314,-74.5089,"(40.314, -74.5089)",603420,,41390,
FL,Florida,10/01/2018,N,U,Y,288896,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,288896,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,167352,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,21845,,189197,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2497413,,3728146,,39.3498,-75.5148,"(39.3498, -75.5148)",3503285,,224861,
OK,Oklahoma,10/01/2018,N,U,Y,46695,Includes Renewals and/or Redeterminations,N/A,,46695,Includes Renewals and/or Redeterminations,43363,Includes Renewals and/or Redeterminations,8393,,51756,Includes Renewals and/or Redeterminations,516513,,737360,,42.1497,-74.9384,"(42.1497, -74.9384)",614873,,122487,
MT,Montana,10/01/2018,Y,U,Y,3930,,N/A,,3930,,3952,,329,,4281,,128428,,279846,,14.8058,145.5505,"(14.8058, 145.5505)",251757,,28089,
OH,Ohio,10/01/2018,Y,U,Y,74112,Includes Renewals and/or Redeterminations,N/A,,74112,Includes Renewals and/or Redeterminations,64232,Includes CHIP; Includes Renewals and/or Redeterminations,3598,,67830,Includes Renewals and/or Redeterminations,1161655,,2700359,,38.4199,-117.1219,"(38.4199, -117.1219)",2483492,,216867,
RI,Rhode Island,10/01/2018,Y,U,Y,2252,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2252,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2765,,351,,3116,,123462,,311844,,44.5672,-122.1269,"(44.5672, -122.1269)",279644,,32200,
WY,Wyoming,10/01/2018,N,U,Y,1575,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1575,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,860,,77,,937,,39614,,59267,,44.0407,-72.7093,"(44.0407, -72.7093)",54670,,4597,
DC,District of Columbia,10/01/2018,Y,U,Y,1374,Includes SBM data,1866,,3240,Includes Renewals and/or Redeterminations,3739,Includes Renewals and/or Redeterminations; Includes CHIP,,,3739,,,,258658,,41.5834,-72.7622,"(41.5834, -72.7622)",242393,,16265,
ME,Maine,10/01/2018,Y,U,Y,5628,,N/A,,5628,,10403,,694,,11097,,106270,,259460,,39.0724,-76.7902,"(39.0724, -76.7902)",249233,,10227,
PA,Pennsylvania,10/01/2018,Y,U,Y,100808,Includes Renewals and/or Redeterminations,N/A,,100808,Includes Renewals and/or Redeterminations,89708,Includes Renewals and/or Redeterminations,10855,,100563,Includes Renewals and/or Redeterminations,1400058,,2967378,,35.5376,-96.9247,"(35.5376, -96.9247)",2787397,,179981,
LA,Louisiana,10/01/2018,Y,U,Y,25590,,N/A,,25590,,33161,,2317,,35478,,730060,,1462452,,37.669,-84.6514,"(37.669, -84.6514)",1331887,,130565,
WI,Wisconsin,10/01/2018,N,U,Y,26413,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,26413,Does Not Include All Applications for Limited-Benefit Programs,18044,"Count is of Households, Not Individuals",1208,,19252,,484139,,1027307,,37.768,-78.2057,"(37.768, -78.2057)",956685,,70622,
NY,New York,10/01/2018,Y,U,Y,,,711257,Includes Renewals and/or Redeterminations,711257,Includes Renewals and/or Redeterminations,122615,Includes Renewals and/or Redeterminations,8565,Includes Renewals and/or Redeterminations,131180,Includes Renewals and/or Redeterminations,2506540,Includes Limited-Benefit Enrollees,6519452,Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5885738,Includes Limited-Benefit Enrollees,633714,
NM,New Mexico,10/01/2018,Y,U,Y,12783,,N/A,,12783,,21628,,1409,,23037,,330235,,726316,,43.4108,-71.5653,"(43.4108, -71.5653)",689935,,36381,
VT,Vermont,10/01/2018,Y,U,Y,3345,,1225,,4570,Includes Renewals and/or Redeterminations,5121,Includes Renewals and/or Redeterminations,122,,5243,,63492,,161162,,31.106,-97.6475,"(31.106, -97.6475)",156713,,4449,
SC,South Carolina,10/01/2018,N,U,Y,26330,,N/A,,26330,,7330,Does Not Include All Medicaid Determinations Made At Application,271,Does Not Include All CHIP Determinations Made At Application,7601,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,652324,,1043092,,40.5773,-77.264,"(40.5773, -77.264)",954665,,88427,
MN,Minnesota,10/01/2018,Y,U,Y,6367,,19044,,25411,,18117,,58,,18175,,538526,,1073312,,43.3504,-84.5603,"(43.3504, -84.5603)",1072090,,1222,
CA,California,10/01/2018,Y,U,Y,210104,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,210104,,162826,Does Not Include All Medicaid Determinations Made At Application,12766,Does Not Include All CHIP Determinations Made At Application,175592,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5012998,,11984993,,33.7712,-111.3877,"(33.7712, -111.3877)",10679957,,1305036,
MI,Michigan,10/01/2018,Y,U,Y,54656,,N/A,,54656,,46494,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1573,,48067,,952378,Does Not Include All Full-Benefit Child Medicaid enrollees,2346180,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2287591,Does Not Include All Full-Benefit Medicaid enrollees,58589,
IN,Indiana,10/01/2018,Y,U,Y,92925,,N/A,,92925,,43929,,4308,,48237,,804838,,1459431,,40.3363,-89.0022,"(40.3363, -89.0022)",1346653,,112778,
IL,Illinois,10/01/2018,Y,U,Y,67479,,N/A,,67479,,39943,,13106,,53049,,1380968,,2922367,,44.2394,-114.5103,"(44.2394, -114.5103)",2678948,,243419,
WA,Washington,10/01/2018,Y,U,Y,77367,,72898,,150265,,108510,,2061,,110571,,831070,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1732776,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1665821,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),66955,
AL,Alabama,10/01/2018,N,U,Y,22130,,N/A,,22130,,16776,,2307,,19083,,653557,,916053,,32.799,-86.8073,"(32.799, -86.8073)",743052,,173001,
CT,Connecticut,10/01/2018,Y,U,Y,5561,Includes Duplicates,12002,Includes Duplicates; Includes Renewals and/or Redeterminations,17563,Includes Duplicates,15693,Includes Renewals and/or Redeterminations,365,Includes Renewals and/or Redeterminations,16058,Includes Renewals and/or Redeterminations,330514,,847899,,39.0646,-105.3272,"(39.0646, -105.3272)",828957,,18942,
