State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
NV,Nevada,09/01/2017,Y,U,Y,18722,Includes Renewals and/or Redeterminations,N/A,,18722,Includes Renewals and/or Redeterminations,11736,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",47,,11783,,,635568,,40.314,-74.5089,595583,,39985,
DC,District of Columbia,09/01/2017,Y,U,Y,2238,Includes SBM data,1820,,4058,Includes Renewals and/or Redeterminations,6187,Includes Renewals and/or Redeterminations; Includes CHIP,,,6187,,,263993,,41.5834,-72.7622,252528,,11465,
ID,Idaho,09/01/2017,N,U,Y,6978,,,,6978,,5465,,277,,5742,,,297066,,42.0046,-93.214,274809,,22257,
OH,Ohio,09/01/2017,Y,U,Y,51060,Includes Renewals and/or Redeterminations,N/A,,51060,Includes Renewals and/or Redeterminations,48520,Includes CHIP; Includes Renewals and/or Redeterminations,2939,,51459,Includes Renewals and/or Redeterminations,,2921175,,38.4199,-117.1219,2704090,,217085,
AZ,Arizona,09/01/2017,Y,U,Y,,,N/A,,,,,,,,,,,1743139,,14.2417,-170.7197,1646000,,97139,
WI,Wisconsin,09/01/2017,N,U,Y,23399,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23399,Does Not Include All Applications for Limited-Benefit Programs,18298,"Count is of Households, Not Individuals",1115,,19413,,,1036360,,37.768,-78.2057,972821,,63539,
TX,Texas,09/01/2017,N,U,Y,129178,,N/A,,129178,,95396,,16116,,111512,,,4455818,,33.8191,-80.9066,3847035,,608783,
NE,Nebraska,09/01/2017,N,U,Y,5828,,N/A,,5828,,7289,,788,,8077,,,246353,,35.6411,-79.8431,213658,,32695,
MS,Mississippi,09/01/2017,N,U,Y,16755,,N/A,,16755,,12759,,432,,13191,,,654983,,38.4623,-92.302,575263,,79720,
CA,California,09/01/2017,Y,U,Y,150780,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,150780,,162875,Does Not Include All Medicaid Determinations Made At Application,11939,Does Not Include All CHIP Determinations Made At Application,174814,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,12268887,,33.7712,-111.3877,10966252,,1302635,
NH,New Hampshire,09/01/2017,Y,U,Y,8218,,N/A,,8218,,5001,,527,,5528,,,187720,,47.5362,-99.793,173528,,14192,
PA,Pennsylvania,09/01/2017,Y,U,Y,84799,Includes Renewals and/or Redeterminations,N/A,,84799,Includes Renewals and/or Redeterminations,48511,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",8973,"Count is of Households, Not Individuals",57484,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,2960729,,35.5376,-96.9247,2783811,,176918,
MN,Minnesota,09/01/2017,Y,U,Y,5754,,19648,,25402,,22636,,52,,22688,,,1069823,,43.3504,-84.5603,1068342,,1481,
WA,Washington,09/01/2017,Y,U,Y,19156,,65224,,84380,,41248,,1282,,42530,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1762927,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1707655,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),55272,
ME,Maine,09/01/2017,Y,U,Y,1411,,N/A,,1411,,11163,,439,,11602,,,266181,,39.0724,-76.7902,261842,,4339,
MD,Maryland,09/01/2017,Y,U,Y,8247,,89368,Includes Renewals and/or Redeterminations,97615,Includes Renewals and/or Redeterminations,27055,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",3967,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",31022,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,1309803,,42.2373,-71.5314,1163936,,145867,
OK,Oklahoma,09/01/2017,N,U,Y,43996,,N/A,,43996,,40116,,7865,,47981,,,744800,,42.1497,-74.9384,630366,,114434,
VT,Vermont,09/01/2017,Y,U,Y,2953,,1319,,4272,Includes Renewals and/or Redeterminations,4930,Includes Renewals and/or Redeterminations,104,,5034,,,164668,,31.106,-97.6475,160012,,4656,
MT,Montana,09/01/2017,Y,U,Y,3599,,N/A,,3599,,3638,,222,,3860,,,264735,,14.8058,145.5505,237391,,27344,
TN,Tennessee,09/01/2017,N,U,Y,527,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,527,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,445,,445,Does Not Include All Medicaid Determinations Made At Application,,1517342,,41.6772,-71.5101,1438652,,78690,
NC,North Carolina,09/01/2017,N,U,Y,21052,,N/A,,21052,,33459,,3375,,36834,,,1782959,,32.7673,-89.6812,1554351,,228608,
IL,Illinois,09/01/2017,Y,U,Y,67589,,N/A,,67589,,46500,,15581,,62081,,,3070815,,44.2394,-114.5103,2816541,,254274,
AK,Alaska,09/01/2017,Y,U,Y,3553,Includes Renewals and/or Redeterminations,N/A,,3553,Includes Renewals and/or Redeterminations,2664,Includes Renewals and/or Redeterminations; Includes CHIP,,,2664,Includes Renewals and/or Redeterminations,,198742,,61.385,-152.2683,185974,,12768,
UT,Utah,09/01/2017,N,U,Y,20175,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,20175,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",54079,Includes CHIP,,,54079,,,305540,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,258085,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,47455,
VA,Virginia,09/01/2017,Y,U,Y,23253,Includes Renewals and/or Redeterminations,N/A,,23253,Includes Renewals and/or Redeterminations,14424,Includes Renewals and/or Redeterminations,602,Includes Renewals and/or Redeterminations,15026,Includes Renewals and/or Redeterminations,,1026222,,35.7449,-86.7489,896443,,129779,
HI,Hawaii,09/01/2017,Y,U,Y,4227,,N/A,,4227,,7228,,376,,7604,,,343874,,32.9866,-83.6487,319868,,24006,
AL,Alabama,09/01/2017,N,U,Y,18308,,N/A,,18308,,27798,,3592,,31390,,,896785,,32.799,-86.8073,738641,,158144,
GA,Georgia,09/01/2017,N,U,Y,47096,,N/A,,47096,,25973,,1085,,27058,,,1769089,,27.8333,-81.717,1587970,,181119,
OR,Oregon,09/01/2017,Y,U,Y,22421,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,22421,Does Not Include All Non-MAGI Applications,32875,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2622,,35497,Does Not Include All Non-MAGI Determinations Made At Application,,968409,,40.3736,-82.7755,848151,,120258,
