State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MA,Massachusetts,08/01/2017,Y,U,Y,23010,,5696,,28706,,,,,,,,,1618082,,31.1801,-91.8749,1443170,,174912,
AK,Alaska,08/01/2017,Y,U,Y,3967,Includes Renewals and/or Redeterminations,N/A,,3967,Includes Renewals and/or Redeterminations,3187,Includes Renewals and/or Redeterminations; Includes CHIP,,,3187,Includes Renewals and/or Redeterminations,,197834,,61.385,-152.2683,185071,,12763,
UT,Utah,08/01/2017,N,U,Y,28450,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,28450,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",48486,Includes CHIP,,,48486,,,308312,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,260162,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,48150,
ME,Maine,08/01/2017,Y,U,Y,1523,,N/A,,1523,,10202,,347,,10549,,,268074,,39.0724,-76.7902,263750,,4324,
MT,Montana,08/01/2017,Y,U,Y,4168,,N/A,,4168,,4110,,223,,4333,,,263978,,14.8058,145.5505,236142,,27836,
IL,Illinois,08/01/2017,Y,U,Y,78681,,N/A,,78681,,46748,,15619,,62367,,,3078351,,44.2394,-114.5103,2823816,,254535,
GA,Georgia,08/01/2017,N,U,Y,55319,,N/A,,55319,,26420,,1251,,27671,,,1766183,,27.8333,-81.717,1585673,,180510,
OR,Oregon,08/01/2017,Y,U,Y,26213,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,26213,Does Not Include All Non-MAGI Applications,42006,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",3766,,45772,Does Not Include All Non-MAGI Determinations Made At Application,,974751,,40.3736,-82.7755,855736,,119015,
RI,Rhode Island,08/01/2017,Y,U,Y,3889,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,3889,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",5775,,754,,6529,,,315776,,44.5672,-122.1269,289160,,26616,
HI,Hawaii,08/01/2017,Y,U,Y,5157,,N/A,,5157,,8302,,470,,8772,,,346500,,32.9866,-83.6487,322546,,23954,
NJ,New Jersey,08/01/2017,Y,U,Y,31246,,N/A,,31246,,12656,Does Not Include All Medicaid Determinations Made At Application,4664,Does Not Include All CHIP Determinations Made At Application,17320,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1771394,,41.1289,-98.2883,1568626,,202768,
AL,Alabama,08/01/2017,N,U,Y,20055,,N/A,,20055,,30256,,4205,,34461,,,896052,,32.799,-86.8073,737724,,158328,
SC,South Carolina,08/01/2017,N,U,Y,22883,,N/A,,22883,,9708,Does Not Include All Medicaid Determinations Made At Application,171,Does Not Include All CHIP Determinations Made At Application,9879,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1033865,,40.5773,-77.264,956011,,77854,
WI,Wisconsin,08/01/2017,N,U,Y,26508,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,26508,Does Not Include All Applications for Limited-Benefit Programs,20199,"Count is of Households, Not Individuals",1179,,21378,,,1037812,,37.768,-78.2057,974977,,62835,
MI,Michigan,08/01/2017,Y,U,Y,50975,,N/A,,50975,,50831,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1292,,52123,,Does Not Include All Full-Benefit Child Medicaid enrollees,2385647,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2330756,Does Not Include All Full-Benefit Medicaid enrollees,54891,
NC,North Carolina,08/01/2017,N,U,Y,22824,,N/A,,22824,,35607,,3798,,39405,,,1781879,,32.7673,-89.6812,1555397,,226482,
DC,District of Columbia,08/01/2017,Y,U,Y,2903,Includes SBM data,1820,,4723,Includes Renewals and/or Redeterminations,4855,Includes Renewals and/or Redeterminations; Includes CHIP,,,4855,,,264047,,41.5834,-72.7622,252573,,11474,
WV,West Virginia,08/01/2017,Y,U,Y,24847,,N/A,,24847,,13061,,682,,13743,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),547047,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,515032,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32015,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MN,Minnesota,08/01/2017,Y,U,Y,6512,,25203,,31715,,32764,,53,,32817,,,1070241,,43.3504,-84.5603,1068782,,1459,
NH,New Hampshire,08/01/2017,Y,U,Y,8913,,N/A,,8913,,5554,,511,,6065,,,188058,,47.5362,-99.793,174120,,13938,
TN,Tennessee,08/01/2017,N,U,Y,630,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,630,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,522,,522,Does Not Include All Medicaid Determinations Made At Application,,1505215,,41.6772,-71.5101,1425855,,79360,
IN,Indiana,08/01/2017,Y,U,Y,86257,,N/A,,86257,,39482,,3474,,42956,,,1492881,,40.3363,-89.0022,1389205,,103676,
NY,New York,08/01/2017,Y,U,Y,,,509597,Includes Renewals and/or Redeterminations,509597,Includes Renewals and/or Redeterminations,112196,Includes Renewals and/or Redeterminations,11079,Includes Renewals and/or Redeterminations,123275,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6427530,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5845986,Includes Limited-Benefit Enrollees,581544,
WA,Washington,08/01/2017,Y,U,Y,19806,,73543,,93349,,44949,,1460,,46409,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1781945,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1727350,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),54595,
OH,Ohio,08/01/2017,Y,U,Y,60709,Includes Renewals and/or Redeterminations,N/A,,60709,Includes Renewals and/or Redeterminations,51904,Includes CHIP; Includes Renewals and/or Redeterminations,3552,,55456,Includes Renewals and/or Redeterminations,,2948633,,38.4199,-117.1219,2732955,,215678,
